,nodes,edges,vocs
40,353.0,1777.0,1.0
246,353.0,1810.0,3.0
591,355.0,1762.0,7.0
396,357.0,1828.0,5.0
330,358.0,1828.0,4.0
444,358.0,1846.0,5.0
528,359.0,1765.0,6.0
262,360.0,1840.0,3.0
366,360.0,1780.0,4.0
779,360.0,1787.0,9.0
257,360.0,1790.0,3.0
234,362.0,1823.0,3.0
455,363.0,1815.0,5.0
655,365.0,1758.0,7.0
264,365.0,1837.0,3.0
120,368.0,1887.0,2.0
116,369.0,1870.0,2.0
499,370.0,1788.0,6.0
113,371.0,1893.0,2.0
363,371.0,1918.0,4.0
240,373.0,1838.0,3.0
2,374.0,1941.0,1.0
361,374.0,1914.0,4.0
357,375.0,1918.0,4.0
176,376.0,1945.0,3.0
509,376.0,1879.0,6.0
66,377.0,1894.0,1.0
145,377.0,1894.0,2.0
325,378.0,1929.0,4.0
130,379.0,1947.0,2.0
190,382.0,1928.0,3.0
535,384.0,1917.0,6.0
266,385.0,1967.0,3.0
583,386.0,1911.0,7.0
178,387.0,1949.0,3.0
280,388.0,1965.0,4.0
1101,389.0,1988.0,12.0
602,391.0,2091.0,7.0
321,391.0,1938.0,4.0
654,392.0,1986.0,7.0
1162,394.0,1958.0,12.0
80,396.0,1945.0,2.0
99,396.0,2027.0,2.0
572,397.0,1981.0,6.0
235,397.0,1987.0,3.0
307,399.0,1960.0,4.0
456,399.0,2045.0,5.0
194,401.0,2002.0,3.0
167,401.0,2039.0,2.0
415,402.0,1954.0,5.0
295,403.0,1998.0,4.0
370,403.0,2031.0,4.0
91,404.0,2061.0,2.0
436,405.0,1958.0,5.0
354,405.0,1976.0,4.0
549,405.0,2002.0,7.0
300,406.0,2009.0,4.0
8,408.0,2080.0,1.0
922,408.0,2083.0,10.0
420,410.0,2035.0,5.0
576,410.0,2071.0,7.0
223,410.0,2087.0,3.0
345,411.0,2052.0,4.0
272,411.0,2091.0,3.0
461,412.0,2007.0,5.0
342,412.0,2070.0,4.0
39,412.0,1967.0,1.0
486,414.0,2015.0,6.0
753,415.0,2127.0,8.0
173,415.0,2139.0,2.0
868,416.0,2099.0,9.0
4,417.0,2098.0,1.0
205,417.0,2077.0,3.0
86,418.0,2094.0,2.0
311,418.0,2091.0,4.0
31,419.0,2106.0,1.0
503,419.0,2111.0,6.0
1252,420.0,2176.0,14.0
496,420.0,2200.0,6.0
186,420.0,2113.0,3.0
603,421.0,2103.0,7.0
364,422.0,2144.0,4.0
84,423.0,2141.0,2.0
976,423.0,2101.0,12.0
197,423.0,2158.0,3.0
239,423.0,2179.0,3.0
286,426.0,2168.0,4.0
388,426.0,2119.0,5.0
89,426.0,2136.0,2.0
900,429.0,2056.0,10.0
328,429.0,2193.0,4.0
1063,429.0,2156.0,11.0
620,429.0,2277.0,7.0
945,430.0,2115.0,10.0
667,430.0,2179.0,7.0
319,430.0,2159.0,4.0
750,430.0,2196.0,8.0
98,432.0,2161.0,2.0
101,432.0,2277.0,2.0
490,432.0,2171.0,6.0
340,432.0,2173.0,4.0
429,433.0,2170.0,5.0
972,433.0,2127.0,10.0
119,433.0,2216.0,2.0
278,433.0,2180.0,4.0
15,433.0,2204.0,1.0
154,435.0,2180.0,2.0
675,435.0,2189.0,7.0
146,437.0,2218.0,2.0
1339,439.0,2129.0,14.0
189,440.0,2265.0,3.0
169,440.0,2308.0,2.0
536,441.0,2187.0,6.0
463,441.0,2265.0,5.0
768,441.0,2286.0,8.0
265,441.0,2235.0,3.0
664,442.0,2298.0,7.0
326,442.0,2262.0,4.0
934,443.0,2341.0,10.0
596,444.0,2167.0,8.0
224,445.0,2313.0,3.0
179,445.0,2235.0,3.0
341,445.0,2223.0,4.0
880,446.0,2199.0,10.0
51,447.0,2340.0,1.0
127,448.0,2267.0,2.0
343,449.0,2263.0,4.0
543,449.0,2222.0,6.0
1267,449.0,2257.0,13.0
843,452.0,2330.0,9.0
474,452.0,2374.0,5.0
956,453.0,2362.0,10.0
468,453.0,2279.0,5.0
451,454.0,2374.0,6.0
245,454.0,2181.0,3.0
289,459.0,2338.0,4.0
135,459.0,2306.0,2.0
275,459.0,2330.0,3.0
393,459.0,2317.0,5.0
185,460.0,2301.0,3.0
409,461.0,2317.0,5.0
312,461.0,2286.0,4.0
233,461.0,2299.0,3.0
115,461.0,2446.0,2.0
293,463.0,2376.0,4.0
241,463.0,2339.0,3.0
748,467.0,2316.0,8.0
427,468.0,2346.0,5.0
470,468.0,2332.0,5.0
398,468.0,2319.0,5.0
557,470.0,2346.0,6.0
131,471.0,2353.0,2.0
808,471.0,2447.0,9.0
389,471.0,2397.0,5.0
426,474.0,2414.0,5.0
315,474.0,2434.0,4.0
737,477.0,2442.0,8.0
511,477.0,2457.0,6.0
348,477.0,2381.0,4.0
872,479.0,2351.0,9.0
248,479.0,2395.0,3.0
560,479.0,2416.0,6.0
380,480.0,2316.0,5.0
349,480.0,2453.0,4.0
1087,484.0,2444.0,12.0
538,485.0,2474.0,6.0
414,487.0,2408.0,5.0
221,488.0,2527.0,3.0
353,489.0,2475.0,4.0
744,490.0,2496.0,8.0
584,492.0,2512.0,7.0
669,493.0,2513.0,7.0
77,498.0,2528.0,2.0
749,499.0,2501.0,8.0
842,501.0,2456.0,9.0
711,502.0,2518.0,8.0
681,502.0,2466.0,8.0
336,503.0,2625.0,4.0
274,504.0,2587.0,3.0
253,505.0,2604.0,3.0
324,505.0,2571.0,4.0
1188,506.0,2551.0,13.0
368,507.0,2583.0,4.0
210,507.0,2637.0,3.0
852,508.0,2413.0,9.0
384,508.0,2609.0,5.0
495,510.0,2597.0,6.0
627,511.0,2570.0,7.0
423,513.0,2581.0,5.0
391,513.0,2585.0,5.0
502,513.0,2600.0,6.0
181,514.0,2621.0,3.0
608,514.0,2584.0,7.0
308,515.0,2559.0,4.0
362,516.0,2567.0,4.0
338,516.0,2575.0,4.0
541,518.0,2651.0,6.0
1181,520.0,2566.0,13.0
693,520.0,2600.0,8.0
512,520.0,2584.0,6.0
829,521.0,2633.0,10.0
258,521.0,2616.0,3.0
405,521.0,2594.0,5.0
579,521.0,2650.0,7.0
778,524.0,2581.0,9.0
578,524.0,2641.0,7.0
928,525.0,2650.0,10.0
298,525.0,2596.0,4.0
334,527.0,2683.0,4.0
929,527.0,2569.0,10.0
604,528.0,2643.0,7.0
425,530.0,2644.0,5.0
517,531.0,2614.0,6.0
733,532.0,2619.0,8.0
477,534.0,2629.0,6.0
723,534.0,2651.0,8.0
1077,534.0,2669.0,12.0
959,535.0,2712.0,10.0
688,537.0,2613.0,8.0
774,538.0,2729.0,8.0
1031,538.0,2659.0,11.0
588,540.0,2717.0,7.0
530,540.0,2674.0,6.0
559,541.0,2708.0,6.0
400,542.0,2734.0,5.0
513,542.0,2771.0,6.0
589,542.0,2728.0,7.0
718,543.0,2847.0,8.0
171,543.0,2766.0,2.0
722,543.0,2754.0,8.0
607,544.0,2695.0,7.0
238,544.0,2748.0,3.0
430,544.0,2718.0,5.0
792,544.0,2726.0,9.0
458,546.0,2806.0,5.0
492,547.0,2777.0,6.0
489,547.0,2828.0,6.0
1045,550.0,2734.0,11.0
542,551.0,2755.0,6.0
851,552.0,2793.0,9.0
561,553.0,2787.0,6.0
416,554.0,2897.0,5.0
648,555.0,2843.0,7.0
491,557.0,2856.0,6.0
637,559.0,2851.0,7.0
521,559.0,2781.0,6.0
762,560.0,2832.0,8.0
1262,560.0,2763.0,13.0
244,562.0,2763.0,3.0
432,562.0,2829.0,5.0
443,563.0,2849.0,5.0
948,563.0,2783.0,10.0
285,564.0,2824.0,4.0
140,564.0,2900.0,2.0
1059,566.0,2782.0,11.0
686,566.0,2912.0,9.0
638,569.0,2884.0,7.0
933,570.0,2870.0,11.0
625,570.0,2921.0,7.0
214,570.0,2963.0,3.0
558,570.0,2819.0,6.0
497,572.0,2770.0,6.0
699,573.0,2826.0,8.0
679,576.0,2890.0,8.0
318,576.0,2833.0,4.0
1002,576.0,2864.0,11.0
567,576.0,2851.0,6.0
449,577.0,2846.0,5.0
782,578.0,2886.0,9.0
815,579.0,2913.0,9.0
551,580.0,2911.0,6.0
645,580.0,2945.0,7.0
1132,581.0,2937.0,13.0
704,586.0,2957.0,8.0
309,587.0,2953.0,4.0
702,587.0,2963.0,8.0
854,588.0,2973.0,10.0
870,589.0,2979.0,9.0
242,590.0,3068.0,3.0
1116,591.0,2914.0,12.0
952,592.0,2976.0,10.0
485,593.0,3038.0,6.0
516,594.0,2973.0,6.0
650,594.0,3014.0,7.0
488,595.0,3044.0,6.0
690,596.0,3026.0,8.0
703,596.0,3105.0,8.0
643,598.0,3054.0,7.0
32,599.0,2804.0,1.0
1294,600.0,3021.0,14.0
305,600.0,3053.0,4.0
1126,601.0,2983.0,12.0
500,601.0,3002.0,6.0
475,602.0,3039.0,6.0
741,603.0,3020.0,9.0
811,604.0,3083.0,9.0
1068,604.0,3090.0,12.0
1004,606.0,3016.0,11.0
616,606.0,3041.0,7.0
580,606.0,3126.0,7.0
494,607.0,3020.0,6.0
378,607.0,3048.0,5.0
487,608.0,3022.0,6.0
1396,609.0,3069.0,15.0
534,610.0,3085.0,6.0
168,610.0,3534.0,2.0
817,611.0,3095.0,9.0
661,611.0,3062.0,7.0
504,614.0,3140.0,6.0
1073,614.0,2992.0,11.0
527,615.0,3161.0,6.0
849,615.0,3053.0,9.0
875,616.0,3034.0,9.0
554,616.0,3222.0,6.0
657,617.0,3101.0,7.0
678,619.0,3062.0,9.0
566,619.0,3158.0,6.0
642,619.0,3189.0,7.0
752,619.0,3096.0,8.0
716,621.0,3141.0,8.0
641,621.0,3173.0,7.0
821,622.0,3147.0,9.0
969,622.0,3138.0,10.0
544,622.0,3230.0,6.0
87,622.0,2911.0,2.0
786,623.0,3140.0,9.0
270,623.0,3036.0,3.0
974,623.0,3183.0,10.0
1135,626.0,3076.0,12.0
1033,627.0,3123.0,11.0
1329,627.0,3087.0,14.0
877,627.0,3182.0,10.0
665,630.0,3115.0,7.0
806,630.0,3127.0,9.0
281,630.0,3222.0,4.0
784,632.0,3063.0,9.0
590,633.0,3225.0,7.0
826,633.0,3072.0,9.0
640,633.0,3283.0,7.0
553,636.0,3197.0,6.0
392,637.0,3229.0,5.0
394,637.0,3259.0,6.0
649,637.0,3285.0,7.0
556,638.0,3263.0,6.0
987,638.0,3197.0,11.0
804,638.0,3270.0,9.0
452,640.0,3235.0,5.0
857,641.0,3207.0,9.0
110,641.0,3690.0,2.0
1143,642.0,3265.0,12.0
302,643.0,3301.0,4.0
592,643.0,3333.0,7.0
615,644.0,3249.0,7.0
766,644.0,3196.0,8.0
406,645.0,3259.0,5.0
609,646.0,3272.0,7.0
478,647.0,3307.0,6.0
402,649.0,3345.0,5.0
555,652.0,3364.0,6.0
751,656.0,3338.0,8.0
706,656.0,3322.0,8.0
906,657.0,3313.0,10.0
377,659.0,3357.0,5.0
677,661.0,3270.0,8.0
546,662.0,3427.0,6.0
814,664.0,3390.0,9.0
464,665.0,3369.0,5.0
1037,666.0,3340.0,11.0
1210,668.0,3430.0,13.0
964,669.0,3345.0,10.0
855,669.0,3311.0,9.0
333,670.0,3349.0,4.0
593,670.0,3408.0,7.0
306,670.0,3360.0,4.0
191,671.0,3222.0,3.0
568,672.0,3414.0,6.0
668,672.0,3457.0,7.0
1098,672.0,3288.0,12.0
844,672.0,3386.0,9.0
830,673.0,3327.0,9.0
498,673.0,3258.0,6.0
507,674.0,3413.0,6.0
1646,674.0,3373.0,17.0
601,675.0,3329.0,7.0
1028,677.0,3374.0,11.0
885,677.0,3506.0,10.0
1052,677.0,3462.0,11.0
103,679.0,3486.0,2.0
320,679.0,3207.0,4.0
585,681.0,3438.0,7.0
1258,681.0,3391.0,13.0
1023,682.0,3337.0,11.0
441,682.0,3394.0,5.0
524,683.0,3380.0,6.0
510,684.0,3471.0,6.0
663,684.0,3419.0,7.0
770,689.0,3492.0,8.0
479,689.0,3511.0,6.0
1451,689.0,3436.0,15.0
995,690.0,3366.0,11.0
397,695.0,3472.0,5.0
998,695.0,3453.0,11.0
633,699.0,3553.0,7.0
839,700.0,3608.0,9.0
193,700.0,3573.0,3.0
301,700.0,3564.0,4.0
888,700.0,3477.0,10.0
403,701.0,3518.0,5.0
745,701.0,3569.0,8.0
209,701.0,3552.0,3.0
920,703.0,3558.0,10.0
687,703.0,3617.0,8.0
838,704.0,3540.0,9.0
909,704.0,3501.0,11.0
996,705.0,3546.0,11.0
1423,705.0,3544.0,15.0
294,707.0,3673.0,4.0
484,708.0,3703.0,6.0
537,709.0,3569.0,6.0
404,710.0,3578.0,5.0
515,710.0,3593.0,6.0
267,712.0,3635.0,3.0
1019,713.0,3507.0,11.0
545,714.0,3543.0,6.0
682,716.0,3600.0,8.0
1407,717.0,3630.0,15.0
760,718.0,3605.0,8.0
694,718.0,3597.0,8.0
977,718.0,3574.0,11.0
437,720.0,3671.0,5.0
562,721.0,3528.0,6.0
1254,721.0,3733.0,13.0
21,721.0,3818.0,1.0
776,722.0,3712.0,10.0
229,722.0,3562.0,3.0
666,722.0,3722.0,7.0
183,723.0,3737.0,3.0
725,723.0,3662.0,8.0
904,724.0,3617.0,10.0
1139,725.0,3767.0,13.0
1630,727.0,3652.0,17.0
769,728.0,3710.0,9.0
831,729.0,3716.0,9.0
83,729.0,3852.0,2.0
813,730.0,3656.0,9.0
734,730.0,3683.0,8.0
582,730.0,3681.0,7.0
795,731.0,3695.0,9.0
299,731.0,4104.0,4.0
1794,732.0,3670.0,19.0
1064,733.0,3705.0,11.0
1231,734.0,3777.0,13.0
930,734.0,3653.0,10.0
960,734.0,3571.0,10.0
735,735.0,3820.0,8.0
316,735.0,3748.0,4.0
1208,735.0,3621.0,13.0
540,735.0,3667.0,6.0
1003,736.0,3777.0,11.0
469,737.0,3437.0,6.0
526,740.0,3817.0,6.0
337,740.0,3745.0,4.0
1237,741.0,3616.0,13.0
836,741.0,3718.0,9.0
395,742.0,4176.0,5.0
438,744.0,3555.0,6.0
861,744.0,3655.0,9.0
1370,745.0,3712.0,14.0
279,746.0,3869.0,4.0
958,746.0,3738.0,10.0
433,748.0,3828.0,5.0
215,748.0,3885.0,3.0
1041,749.0,3842.0,11.0
228,750.0,3876.0,3.0
422,751.0,3851.0,5.0
803,752.0,3791.0,9.0
605,752.0,3793.0,7.0
508,753.0,3774.0,6.0
1202,753.0,3763.0,13.0
1306,753.0,3811.0,14.0
924,755.0,3766.0,10.0
1344,756.0,3823.0,14.0
1290,757.0,3800.0,14.0
1122,758.0,3815.0,12.0
1074,759.0,3726.0,11.0
1454,759.0,3876.0,16.0
1125,760.0,3829.0,12.0
695,762.0,3865.0,8.0
680,763.0,3875.0,8.0
705,763.0,4311.0,8.0
1084,764.0,3889.0,12.0
1156,765.0,3900.0,12.0
862,765.0,3810.0,9.0
373,766.0,3822.0,4.0
793,767.0,4016.0,9.0
375,767.0,4037.0,4.0
372,768.0,4334.0,4.0
622,768.0,3903.0,7.0
1230,769.0,3901.0,13.0
466,769.0,4029.0,5.0
918,771.0,3897.0,10.0
698,771.0,3890.0,8.0
1170,775.0,3963.0,12.0
864,776.0,3916.0,9.0
525,776.0,4015.0,6.0
818,777.0,3916.0,9.0
1298,778.0,3890.0,14.0
1672,778.0,3925.0,17.0
424,779.0,4010.0,5.0
941,779.0,3905.0,10.0
577,781.0,4046.0,7.0
1406,782.0,3954.0,15.0
983,782.0,3966.0,11.0
594,782.0,4004.0,7.0
882,783.0,3880.0,10.0
881,783.0,3761.0,10.0
379,783.0,3951.0,5.0
1253,784.0,3843.0,13.0
442,784.0,3864.0,5.0
1030,785.0,3967.0,11.0
467,785.0,3968.0,5.0
595,785.0,4003.0,7.0
1009,786.0,3942.0,11.0
866,786.0,4038.0,9.0
937,786.0,3863.0,10.0
801,786.0,3950.0,10.0
1046,787.0,3907.0,11.0
646,788.0,4065.0,7.0
783,789.0,3790.0,9.0
1219,790.0,4022.0,13.0
1183,791.0,4080.0,14.0
454,792.0,3964.0,5.0
1043,792.0,4084.0,11.0
1114,793.0,4086.0,12.0
897,794.0,3910.0,10.0
873,794.0,4003.0,9.0
747,796.0,3995.0,8.0
1354,797.0,4000.0,14.0
901,798.0,3992.0,10.0
1302,798.0,3953.0,14.0
408,800.0,4097.0,5.0
651,800.0,4067.0,7.0
893,801.0,4089.0,10.0
876,801.0,4002.0,10.0
859,802.0,4028.0,9.0
1047,803.0,4074.0,11.0
1752,803.0,4007.0,18.0
1175,806.0,4090.0,12.0
1062,807.0,4119.0,11.0
371,807.0,4092.0,4.0
1232,808.0,4050.0,13.0
1405,809.0,4086.0,15.0
938,810.0,4164.0,11.0
1342,810.0,4014.0,14.0
1124,812.0,4204.0,12.0
982,813.0,4172.0,11.0
727,814.0,4105.0,8.0
573,814.0,4100.0,6.0
581,815.0,4085.0,7.0
1418,815.0,4143.0,15.0
717,815.0,3878.0,8.0
529,819.0,4132.0,6.0
1498,822.0,4182.0,16.0
662,822.0,4192.0,7.0
865,822.0,4179.0,9.0
720,822.0,4193.0,8.0
626,824.0,4195.0,7.0
1024,824.0,4187.0,11.0
659,824.0,4088.0,7.0
936,824.0,4133.0,10.0
1324,825.0,4142.0,14.0
446,825.0,4276.0,5.0
837,825.0,4140.0,10.0
1054,828.0,4267.0,11.0
1022,829.0,4132.0,11.0
715,829.0,4141.0,8.0
1355,829.0,4275.0,14.0
1573,831.0,4162.0,17.0
1172,832.0,4214.0,12.0
796,832.0,4170.0,9.0
1334,832.0,4222.0,14.0
518,833.0,4266.0,6.0
1117,833.0,4128.0,12.0
740,834.0,4128.0,8.0
1089,834.0,4344.0,12.0
1575,836.0,4178.0,17.0
447,837.0,4382.0,5.0
313,838.0,4142.0,4.0
1277,840.0,4336.0,14.0
812,840.0,4301.0,9.0
1279,841.0,4212.0,14.0
2438,842.0,4225.0,26.0
970,842.0,4236.0,10.0
1565,842.0,4180.0,16.0
344,843.0,4417.0,4.0
810,843.0,4233.0,9.0
1215,844.0,4142.0,13.0
1455,844.0,4183.0,15.0
726,845.0,4196.0,8.0
674,847.0,4221.0,7.0
599,848.0,4280.0,7.0
1312,848.0,4252.0,14.0
1966,848.0,4252.0,20.0
871,850.0,4210.0,9.0
1081,850.0,4265.0,12.0
1195,851.0,4281.0,13.0
347,851.0,4775.0,4.0
1150,852.0,4253.0,12.0
457,854.0,4323.0,5.0
757,855.0,4447.0,8.0
1280,855.0,4413.0,14.0
1417,857.0,4321.0,15.0
858,858.0,4393.0,9.0
563,858.0,4286.0,6.0
1015,859.0,4405.0,12.0
621,859.0,4325.0,7.0
1873,860.0,4283.0,19.0
523,860.0,4391.0,6.0
1260,860.0,4405.0,14.0
912,861.0,4386.0,10.0
944,863.0,4315.0,10.0
1233,863.0,4374.0,13.0
532,863.0,4477.0,6.0
1562,866.0,4383.0,16.0
966,867.0,4367.0,10.0
213,868.0,4242.0,3.0
1667,870.0,4486.0,17.0
845,870.0,4447.0,9.0
1154,870.0,4495.0,13.0
732,870.0,4392.0,8.0
835,871.0,4436.0,9.0
1174,871.0,4397.0,12.0
1288,871.0,4405.0,15.0
799,872.0,4417.0,9.0
1388,872.0,4385.0,16.0
988,873.0,4496.0,11.0
1079,873.0,4416.0,12.0
1185,874.0,4388.0,13.0
905,874.0,4397.0,10.0
712,874.0,4430.0,8.0
1133,877.0,4363.0,12.0
805,878.0,4217.0,10.0
700,878.0,4418.0,8.0
1490,879.0,4396.0,16.0
1115,884.0,4483.0,12.0
624,884.0,4477.0,7.0
1305,884.0,4407.0,14.0
902,886.0,4476.0,10.0
1576,887.0,4519.0,17.0
670,889.0,4544.0,7.0
1671,890.0,4421.0,17.0
1065,890.0,4460.0,11.0
709,891.0,4541.0,8.0
925,893.0,4609.0,10.0
1437,893.0,4571.0,15.0
1273,894.0,4494.0,13.0
1036,894.0,4515.0,12.0
973,896.0,4592.0,10.0
1083,899.0,4543.0,12.0
949,900.0,4526.0,10.0
1634,901.0,4453.0,17.0
975,901.0,4445.0,10.0
884,901.0,4677.0,10.0
992,901.0,4567.0,11.0
