,x,y,rate,kmeans,labels
RTX24O2-->TXCARB22+HO2,115.84123992919922,-101.04840850830078,(2.50D-13*RO2),1,4
RU12O2-->CARB3+CARB7+HO2,114.60454559326172,-99.9201431274414,(4.20D-13*RO2*0.402),1,14
NRN9O2-->HCHO+CH3CHO+NO2,115.57853698730469,-100.80875396728516,(2.30D-13*RO2),1,4
RU12O2-->HOCH2CHO+CH3CO3,114.7575454711914,-100.05970001220703,(4.20D-13*RO2*0.422),1,14
RN25AO2-->RN24O2,119.80612182617188,-104.66602325439453,(8.80D-13*RO2),1,2
RN36O2-->2CARB17+HO2,119.80612182617188,-104.66602325439453,(8.80D-13*RO2),1,2
RN9O2-->HCHO+CH3CHO+HO2,119.80612182617188,-104.66602325439453,(8.80D-13*RO2),1,2
NRTN28O2-->TNCARB26+NO2,112.95423889160156,-98.41453552246094,(1.00D-13*RO2),1,6
RN13O2-->C2H5O2+CH3CHO,112.9384536743164,-98.40013122558594,(2.50D-13*RO2*0.398),1,6
RTN26O2-->RTN25O2,127.4629135131836,-111.65302276611328,(1.00D-11*RO2),1,1
RN28AO2-->RN27O2,119.80612182617188,-104.66602325439453,(8.80D-13*RO2),1,2
RA16BO2-->RAROH14,119.80612182617188,-104.66602325439453,(8.80D-13*RO2),1,2
RN10O2-->C2H5CHO+HO2,116.99006652832031,-102.09661865234375,(6.00D-13*0.6*RO2),1,15
RE18O2-->ECARB13+CH3O2,122.39254760742188,-107.02613830566406,(2.00D-12*RO2),1,12
RN31AO2-->RN30O2,119.80612182617188,-104.66602325439453,(8.80D-13*RO2),1,2
RN20O2-->RN19O2,121.26889038085938,-106.00080108642578,(1.40D-12*RO2),1,9
RTN25O2-->RTN24O2,121.0354232788086,-105.78775787353516,(1.30D-12*RO2),1,9
RA25O2-->UDCARB17+CARB6+HO2,119.80612182617188,-104.66602325439453,(8.80D-13*RO2),1,2
RU10AO2-->CO+CARB7+OH,143.396728515625,-130.37875366210938,(K14ISOM1),1,11
HO2NO2-->NO2+HO2,136.42601013183594,-124.01910400390625,(KMT10),1,11
RN27O2-->CARB14+CARB11+HO2,119.80612182617188,-104.66602325439453,(8.80D-13*RO2),1,2
CH3O2-->HCHO+HO2,115.94439697265625,-101.14257049560547,(2*KCH3O2*RO2*7.18*EXP(-885/TEMP)),1,4
RU11O2-->HCHO+CH3CHO+HO2,123.37281036376953,-107.920654296875,(2.73D-12*RO2),1,0
NRU12O2-->NOA+CO+HO2,117.89646911621094,-102.92359161376953,(9.60D-13*RO2*0.5),1,2
RA16O2-->UDCARB11+CARB3+HO2,118.68238830566406,-103.64070129394531,(8.80D-13*RO2*0.7),1,2
RN22O2-->RN21AO2,115.84123992919922,-101.04840850830078,(2.50D-13*RO2),1,4
NRN15O2-->C2H5CHO+CH3CHO+NO2,115.84123992919922,-101.04840850830078,(2.50D-13*RO2),1,4
RI11O2-->IC3H7O2,121.26889038085938,-106.00080108642578,(1.40D-12*RO2),1,9
RU10O2-->HOCH2CHO+CH3CO3,120.98904418945312,-105.74542999267578,(1.83D-12*RO2*0.7),1,9
RUA20O2-->BENZAL+HCHO+HO2,119.80612182617188,-104.66602325439453,(8.80D-13*RO2),1,2
