,x,y,count,mean,std,min,25%,50%,75%,max
RA13NO3,0.36006135,-0.62309504,432.0,4.856365642759398,0.09675669612446107,4.57934219909307,4.815412178521463,4.903082687720927,4.9225397055017055,4.932607651319444
RA13O2,-0.21928047,-0.47887036,432.0,2.806272889766671,0.6241802052097158,1.4648077755091453,2.37944615901659,2.853440045631749,3.2675210579830223,3.8089461114533796
RA13OOH,0.5065068,-0.67522323,432.0,4.832743487723318,0.12190103788935511,4.495825606774087,4.774901022591569,4.892328881653897,4.917910615563134,4.9312929916445425
RA16BO2,-0.68907046,-0.2261695,432.0,2.7946043102786353,0.624128912330872,1.4573640296399488,2.366165814848376,2.8411670626353653,3.256630176365801,3.7988875885755933
RA16BOOH,0.6213636,-0.6879822,432.0,4.924153619191107,0.018215116086654038,4.874036910392299,4.9193489169141165,4.93417399103355,4.935608250980814,4.936265929390557
RA16NO3,0.35718748,-0.55388594,432.0,4.8576051251533485,0.09543431171241575,4.583994127442421,4.817384897324756,4.903700263261431,4.922803566519918,4.932682285752234
RA16O2,-0.41612926,-0.45950925,432.0,2.7946043102786353,0.624128912330872,1.4573640296399488,2.366165814848376,2.8411670626353653,3.2566301763658014,3.7988875885755933
RA16OOH,-0.34240538,-0.50027627,432.0,4.833768987024718,0.12087494916179527,4.499385085298178,4.776618189951266,4.892888281590404,4.918153025668819,4.931362085133453
RA19AO2,-0.53621745,-0.31907892,432.0,2.785722825250139,0.6240887805192908,1.4516452059701317,2.355825036588985,2.8318298114560374,3.248320911552836,3.7912005274416636
RA19BO2,-0.92397135,-0.016257767,432.0,2.785722825250139,0.6240887805192908,1.4516452059701317,2.355825036588985,2.8318298114560374,3.248320911552836,3.7912005274416636
RA19CO2,-1.1933341,-0.032065913,432.0,2.785722825250139,0.6240887805192908,1.4516452059701317,2.355825036588985,2.8318298114560374,3.248320911552836,3.7912005274416636
RA19NO3,-0.50163907,-0.33074272,432.0,4.847640003826972,0.10593941069731022,4.547181684967917,4.801439894523504,4.898653154123554,4.920640872015324,4.932069596899869
RA19OOH,-0.025020815,-0.5410286,432.0,4.821770697515144,0.13271068526372506,4.458483755942412,4.756447623510534,4.886222574220749,4.915252996594953,4.930533687876913
RA22AO2,-0.2950587,-0.41594052,432.0,2.7787947265441453,0.6240568404772826,1.4471525922232658,2.347777633649467,2.824548837066734,3.2418276924214364,3.7851859126389282
RA22BO2,-1.1675661,-0.02057295,432.0,2.7787947265441453,0.6240568404772826,1.4471525922232658,2.347777633649467,2.824548837066734,3.2418276924214364,3.7851859126389282
RA22NO3,-0.32525358,-0.40760824,432.0,4.838212461467309,0.11562021983762506,4.513531183112178,4.786191072408615,4.893707164438965,4.918507560931056,4.931463087702246
RA22OOH,-0.16941325,-0.48875558,432.0,4.810104032626748,0.1438762879787019,4.420187711893432,4.736889841813887,4.879490596971326,4.912298588547522,4.929685687911627
RA25NO3,0.3069984,-0.6326766,432.0,4.837244125338038,0.11660088551220175,4.510136082357788,4.7846166440931395,4.8931897956602075,4.918283720079378,4.931399293873329
RA25O2,-0.4343599,-0.42649543,432.0,2.773508345554012,0.624032100519809,1.4437060800462609,2.341648244895927,2.8189947939363904,3.2368665182216088,3.780585975317847
RA25OOH,0.49823308,-0.7007915,432.0,4.810104032626748,0.1438762879787019,4.420187711893432,4.736889841813887,4.879490596971326,4.912298588547522,4.929685687911627
RA28NO3,0.36169243,-0.5737137,432.0,4.836440522499483,0.11741282153794101,4.507326966434521,4.78330896667139,4.892759125328367,4.918098488819224,4.931346139506487
RA28O2,-0.5794862,-0.33189481,432.0,2.7695866898170483,0.6240135467118322,1.4411390207506147,2.3371073300009026,2.8148754822613236,3.233182476412163,3.7771677133240456
RA28OOH,-0.34378082,-0.4985318,432.0,4.810104032626748,0.1438762879787019,4.420187711893432,4.736889841813887,4.879490596971326,4.912298588547522,4.929685687911627
RAROH14,-0.6281568,-0.31507447,432.0,2.2443472917470935,0.6290552130049111,1.4035935470240357,1.529882336068844,2.166251278451245,2.839039206179456,3.5800775399809006
RAROH17,0.5047058,-0.4733245,432.0,2.2443472917470935,0.6290552130049111,1.4035935470240357,1.529882336068844,2.166251278451245,2.839039206179456,3.5800775399809006
RC14O2,-0.6381045,-0.2699126,432.0,2.9617291050260075,0.7037664897519388,1.472066130934337,2.4988918642745643,3.0619977189533323,3.5003526127483355,4.033682999137883
RC16O2,-0.6268344,-0.28528497,432.0,2.961729106154845,0.7037664883033131,1.472066135608345,2.4988918642745657,3.0619977189604324,3.5003526127483404,4.033682999137886
RC18NO3,0.2170667,-0.63307995,432.0,4.930933861128951,0.007789923407880122,4.9076435294913034,4.928793020932653,4.934911018307805,4.935873125365579,4.936339044583058
