,CH3NO3,CH3OH,O1D,O3,NO2,NO3,N2O5,H2O2,TEMP,NO,NA,CH4,HO2NO2,LMP2,PRESS,LMP1,HSO3,CO,CL,O,HNO3,SO3,SO2,HO2,OH,H2,HONO,H2O,TIME,CH3OOH,SA
39,0.0,0.0,0.081642984185,1.16476972781e+11,10137611036.3,443146.245493,123870.868708,0.0,298.0,46185823904.6,21302144213.1,2.12399697769e+11,1398648.21476,0.0,1013.0,785277552.637,0.0,1.18804142458e+11,0.0,2041.10817404,98076602401.0,0.0,0.0,11424217.1992,38699241.6789,1.22633385256e+13,9644239890.34,2.46220332744e+17,15859851.84,0.0,0.0
40,0.0,0.0,0.0742436722673,1.16429742591e+11,9528873329.81,488005.970056,128252.881001,0.0,298.0,42043507565.5,22386104414.4,2.12306390274e+11,1403257.47482,0.0,1013.0,878585048.227,0.0,1.16947003777e+11,0.0,1912.37818042,1.02515894318e+11,0.0,0.0,12191833.4244,37773858.3447,1.22576739652e+13,8871983584.92,2.46220332744e+17,15861651.84,0.0,0.0
41,0.0,0.0,0.0657475179351,1.16809055417e+11,9082592510.63,520215.132999,130344.275032,0.0,298.0,38352965008.3,23514576669.3,2.1221651787e+11,1388477.2472,0.0,1013.0,968457452.367,0.0,1.15184933431e+11,0.0,1796.00201861,1.06322141134e+11,0.0,0.0,12653232.0079,35906024.9816,1.22522180654e+13,8074066278.02,2.46220332744e+17,15863451.84,0.0,0.0
42,0.0,0.0,0.056368926045,1.17425641436e+11,8791189624.09,534259.415361,129602.461747,0.0,298.0,35093463062.5,24680832413.9,2.12132410163e+11,1348484.73786,0.0,1013.0,1052565158.76,0.0,1.13559283796e+11,0.0,1686.9485506,1.09515933274e+11,0.0,0.0,12691985.8719,33060615.8485,1.22471122318e+13,7264950657.85,2.46220332744e+17,15865251.84,0.0,0.0
43,0.0,0.0,0.0463555331716,1.18082292867e+11,8662563374.16,524900.553282,125518.336348,0.0,298.0,32241119819.0,25878350167.5,2.12056462632e+11,1276921.12104,0.0,1013.0,1128512690.52,0.0,1.12110534088e+11,0.0,1580.81186339,1.1211468073e+11,0.0,0.0,12190978.3394,29238667.0876,1.22425018584e+13,6449744032.06,2.46220332744e+17,15867051.84,0.0,0.0
44,0.0,0.0,0.0363209866989,1.18589783945e+11,8712585095.2,490987.535931,118130.213968,0.0,298.0,29758413069.1,27100792816.9,2.11990814002e+11,1172527.65662,0.0,1013.0,1194161319.67,0.0,1.10872733586e+11,0.0,1474.3743192,1.14136855937e+11,0.0,0.0,11123795.892,24657063.9385,1.22385167455e+13,5637964288.16,2.46220332744e+17,15868851.84,0.0,0.0
45,0.0,0.0,0.0268459188228,1.18772873546e+11,8979655402.39,435452.384528,108016.939139,0.0,298.0,27575764582.4,28342058694.4,2.11936934386e+11,1038404.26333,0.0,1013.0,1248040935.68,0.0,1.09866772543e+11,0.0,1363.99806633,1.1560739787e+11,0.0,0.0,9552663.40095,19629901.8272,1.22352461024e+13,4841944541.62,2.46220332744e+17,15870651.84,0.0,0.0
46,0.0,0.0,0.0184976672679,1.18479904734e+11,9531443857.98,366082.687895,96408.3958344,0.0,298.0,25587749708.0,29596346076.6,2.11895411461e+11,882649.256477,0.0,1013.0,1289563861.36,0.0,1.09097576704e+11,0.0,1245.70694546,1.16556839022e+11,0.0,0.0,7645060.01349,14575227.9526,1.22327255741e+13,4074690768.35,2.46220332744e+17,15872451.84,0.0,0.0
47,0.0,0.0,0.0117324230401,1.17580518039e+11,10476881427.1,294900.217521,85361.029234,0.0,298.0,23632866472.1,30858224768.6,2.11865740443e+11,718285.255547,0.0,1013.0,1319234879.1,0.0,1.08551142395e+11,0.0,1114.43510608,1.17023389938e+11,0.0,0.0,5656273.83585,9956122.269,1.22309244969e+13,3355964468.62,2.46220332744e+17,15874251.84,0.0,0.0
48,0.0,0.0,0.0067653294093,1.15946707553e+11,11982547695.4,235993.542424,78064.9260154,0.0,298.0,21474647567.2,32122731305.6,2.11846346681e+11,560871.074899,0.0,1013.0,1338628641.09,0.0,1.08195417316e+11,0.0,962.94942545,1.17054871837e+11,0.0,0.0,3859571.93302,6172140.65851,1.22297472723e+13,2712759582.01,2.46220332744e+17,15876051.84,0.0,0.0
