,x,y,group
MXYOHNO2O2,-1.1368377,-7.301991,54
C827O2,-1.6462860000000001,0.31648487,-1
BOXCHO,-1.0233431,-6.666102400000001,53
C826CO3O2,-0.6192249,-0.3324489,2
PBN,-0.99256223,-0.10963225,-1
C1011CO3,-0.68104833,-4.0094705,45
C3PAN1,-0.8492359,-0.31322947,-1
CH3CHOHCHO,-1.0022106,-0.025661632,-1
EPXC4DIAL,-0.6613321,-0.42601576,-1
BUT2OLO,-1.5742433,0.18877703,-1
C3DIALO2,-0.6429946,-0.55397916,-1
PEAO2,-1.9898266,0.40266034,38
C6H13CO3,-1.4306192,0.22762217,-1
HO3C5O2,-1.9375814999999998,0.39003566,-1
C2H5NO3,-42.276627000000005,8.124867,-1
C5H11CHO,-1.6146562,0.27104408,35
C2H5OH,-28.886465,5.587807,-1
IPRFORMO2,-1.9542370999999998,0.42461935,-1
ISOPDO2,-0.5628406,-3.3590531,-1
C727CO3,-0.7734159,-4.8742337,49
HO3C4CO3,-1.2093905,0.13616861,28
C96O2,-0.69093543,-4.5695763,-1
OXYLCO3,-0.6301376000000001,-3.1621599999999996,42
C5MEJCO3,-0.51793927,-0.6657831999999999,-1
C5M2OHOCO3,-0.51415706,-0.6987355,-1
CO235C6CHO,-1.2463268,0.14026457,-1
EMPOHNO2O2,-1.9168256999999997,0.32720432,37
HM22CO3,-1.118845,0.08830403,26
BUT2OLO2,-1.616242,0.27892584,35
HO2C4O2,-1.5556486999999999,0.25410038,33
IPEAO2,-1.8053158999999999,0.34317034,-1
C923CO3,-0.7273714,-4.223646,46
IPECO2,-1.8994957,0.36049235,37
ACETETCHO,-1.4769025,0.21835949999999998,-1
IC4H9O2,-1.4027798,0.23140866,31
C31CO3,-0.7429372,-0.44598958,-1
H2M2C3CO3,-0.8605886999999999,-0.12633492,23
CO23C4CO3,-0.73488784,-0.30644366,-1
NBUTOLBO2,-1.6522611,0.27858390000000005,35
C1012O2,-26.10015,5.247685400000001,-1
CO23C5,-1.4772139,0.18008158,-1
C3PAN2,-0.7097455,-2.6782582,-1
CHOC3COO2,-0.6868426999999999,-0.5064666,-1
DICLETO2,-1.9768609000000001,0.4143339,38
C1014O2,-1.2780597,-9.001486,55
C831O2,-1.4035618,-9.697528,55
TMBCO3,-0.60491264,-2.9179932999999996,41
C719O2,-2.5860852999999997,0.5602931,-1
DMPHOHNO2,-0.8126140000000001,-5.5748405,-1
HCOCH2CO2H,-0.7981132,-4.246507599999999,-1
C141CO3,-0.60759234,-0.6776671,21
