HO3C5CO3H,CCC(O)CCC(=O)OO
HO3C5CO2H,CCC(O)CCC(=O)O
HO3C5OOH,CCC(O)CCOO
HO13C5,OCCC(O)CC
HO3C4CHO,CCC(O)CC=O
HO13C5OOH,OCCC(O)C(C)OO
HO134C5,OCCC(O)C(C)O
HO13CO4C5,CC(=O)C(O)CCO
DIEKBO2,CCC(=O)CCO[O]
DIEKBNO3,CCC(=O)CCON(=O)=O
HO1CO3C5,OCCC(=O)CC
HO3C4O2,CCC(O)CO[O]
HO3C4CO3,CCC(O)CC(=O)O[O]
HO3C4CO3H,CCC(O)CC(=O)OO
C5PAN8,CCC(O)CC(=O)OON(=O)=O
HO1CO34C5,CC(=O)C(=O)CCO
CO23C4CHO,O=CCC(=O)C(=O)C
CO23C4CO3,[O]OC(=O)CC(=O)C(=O)C
BIACETO2,CC(=O)C(=O)CO[O]
CO23C4CO3H,OOC(=O)CC(=O)C(=O)C
C5PAN9,O=N(=O)OOC(=O)CC(=O)C(=O)C
HEXBO2,CC(CCCC)O[O]
HEXBO,CCCCC(C)[O]
HEXBNO3,CCCCC(C)ON(=O)=O
HO2C6O2,[O]OC(C)CCC(C)O
HO2C6O,CC(O)CCC(C)[O]
HO2C6NO3,CC(O)CCC(C)ON(=O)=O
HO2CO5C6,CC(O)CCC(=O)C
HEXBOOH,CC(CCCC)OO
HEXBOH,CCCCC(C)O
HEX2ONE,CCCCC(=O)C
HO2C6OOH,OOC(C)CCC(C)O
HO25C6,CC(O)CCC(C)O
CO25C6,CC(=O)CCC(=O)C
C61O2,[O]OC(CC(=O)C)C(C)O
C61O,CC(=O)CC([O])C(C)O
C61NO3,CC(=O)CC(ON(=O)=O)C(C)O
C61OOH,OOC(CC(=O)C)C(C)O
C61OH,CC(=O)CC(O)C(C)O
C61CO,CC(=O)CC(=O)C(C)O
CO235C6,CC(=O)CC(=O)C(=O)C
C62O2,[O]OC(C(=O)C)C(=O)C(=O)C
C62OOH,OOC(C(=O)C)C(=O)C(=O)C
C62O,CC(=O)C(=O)C([O])C(=O)C
CO25C6O2,[O]OC(CC(=O)C)C(=O)C
CO25C6O,CC(=O)CC([O])C(=O)C
CO25C6OOH,OOC(CC(=O)C)C(=O)C
CO25C6OH,CC(=O)CC(O)C(=O)C
HEXCO2,CCCC(CC)O[O]
HEXCO,CCCC([O])CC
HEXCNO3,CCCC(CC)ON(=O)=O
HEX3ONE,CCCC(=O)CC
HO3C6O2,[O]OCCCC(O)CC
HO3C6O,[O]CCCC(O)CC
HO3C6NO3,CCC(O)CCCON(=O)=O
HEXCOOH,CCCC(CC)OO
HEXCOH,CCCC(O)CC
HO3C6OOH,OOCCCC(O)CC
C63O2,OCC(O[O])CC(=O)CC
CO3C5CHO,CCC(=O)CCC=O
