,name,smiles,inchi,synonyms
48,HEPTOH,CCCCC(O)CC,"InChI=1S/C7H16O/c1-3-5-6-7(8)4-2/h7-8H,3-6H2,1-2H3",3-HEPTANOL;3-Hydroxyheptane;heptan-3-ol;Butyl ethyl carbinol;Ethyl butyl carbinol
49,C6CO4MEDB,O=CC(=O)C(=C(C)C(=O)C=O)CC,"InChI=1S/C9H10O4/c1-3-7(9(13)5-11)6(2)8(12)4-10/h4-5H,3H2,1-2H3",
50,ACBUONEAO,CC(=O)CC([O])OC(=O)C,"InChI=1S/C6H9O4/c1-4(7)3-6(9)10-5(2)8/h6H,3H2,1-2H3",
51,PEBQONE,CCC1=CC(=O)C=CC1=O,"InChI=1S/C8H8O2/c1-2-6-5-7(9)3-4-8(6)10/h3-5H,2H2,1H3","p-Benzoquinone, 2-ethyl-;2-Ethyl-1,4-benzoquinone;4754-26-1;2-ethylcyclohexa-2,5-diene-1,4-dione;2,5-Cyclohexadiene-1,4-dione, 2-ethyl-"
52,C42OH,O=CC(O)C(O)CON(=O)=O,"InChI=1S/C4H7NO6/c6-1-3(7)4(8)2-11-5(9)10/h1,3-4,7-8H,2H2",
53,O1D,,,
54,C63NO3,CCC(=O)CC(CO)ON(=O)=O,"InChI=1S/C6H11NO5/c1-2-5(9)3-6(4-8)12-7(10)11/h6,8H,2-4H2,1H3",
55,TBOCOCH2O,[O]CC(=O)OC(C)(C)C,"InChI=1S/C6H11O3/c1-6(2,3)9-5(8)4-7/h4H2,1-3H3",
56,NPETOLO2,CCC12OOC(C(=CC2(O)O[O])C)C1ON(=O)=O,"InChI=1S/C9H12NO8/c1-3-8-7(15-10(12)13)6(16-18-8)5(2)4-9(8,11)17-14/h4,6-7,11H,3H2,1-2H3",
57,NPTLQO,O=N(=O)OC1C([O])C(=O)C=C(C)C1=O,"InChI=1S/C7H6NO6/c1-3-2-4(9)6(11)7(5(3)10)14-8(12)13/h2,6-7H,1H3",
58,C514OH,O=CCC(O)CC=O,"InChI=1S/C5H8O3/c6-3-1-5(8)2-4-7/h3-5,8H,1-2H2",
59,C620O2,O=CCC(=O)C(O[O])CC=O,"InChI=1S/C6H7O5/c7-3-1-5(9)6(11-10)2-4-8/h3-4,6H,1-2H2",
60,ACETC2CO2H,OC(=O)CCOC(=O)C,"InChI=1S/C5H8O4/c1-4(6)9-3-2-5(7)8/h2-3H2,1H3,(H,7,8)",3-acetoxy-propionic acid;AKOS006223257;I04-1198
61,C917NO3,O=C1CCC(=O)C(C1)C(C)(C)ON(=O)=O,"InChI=1S/C9H13NO5/c1-9(2,15-10(13)14)7-5-6(11)3-4-8(7)12/h7H,3-5H2,1-2H3",
62,METHACETO2,CC(=O)OCO[O],"InChI=1S/C3H5O4/c1-3(4)6-2-7-5/h2H2,1H3",
63,C44O,O=CCC([O])C(=O)O,"InChI=1S/C4H5O4/c5-2-1-3(6)4(7)8/h2-3H,1H2,(H,7,8)",
64,C620OH,O=CCC(=O)C(O)CC=O,"InChI=1S/C6H8O4/c7-3-1-5(9)6(10)2-4-8/h3-5,9H,1-2H2",
65,C711O2,CC(O)(CC(=O)CO[O])CC,"InChI=1S/C7H13O4/c1-3-7(2,9)4-6(8)5-11-10/h9H,3-5H2,1-2H3",
66,CNO3OCL,ClC(=O)CON(=O)=O,InChI=1S/C2H2ClNO4/c3-2(5)1-8-4(6)7/h1H2,
67,NEBNZOLOOH,CCC12OOC(C2ON(=O)=O)C(O)(OO)C=C1,"InChI=1S/C8H11NO8/c1-2-7-3-4-8(10,16-13)6(15-17-7)5(7)14-9(11)12/h3-6,10,13H,2H2,1H3",
68,C514O2,O=CCC(O[O])CC=O,"InChI=1S/C5H7O4/c6-3-1-5(9-8)2-4-7/h3-5H,1-2H2",
69,NPETOLOH,CCC12OOC(C(=CC2(O)O)C)C1ON(=O)=O,"InChI=1S/C9H13NO7/c1-3-8-7(15-10(13)14)6(16-17-8)5(2)4-9(8,11)12/h4,6-7,11-12H,3H2,1-2H3",
70,C731OOH,OOCCC(CC=O)C(=O)C,"InChI=1S/C7H12O4/c1-6(9)7(2-4-8)3-5-11-10/h4,7,10H,2-3,5H2,1H3",
71,IC3H7O,CC(C)[O],"InChI=1S/C3H7O/c1-3(2)4/h3H,1-2H3",isopropoxy;i-propoxy;1-Methylethoxy;1-methylethyloxy;1-Methyl ethoxy radical
72,HO2C54O,CC(O)CC(C)[O],"InChI=1S/C5H11O2/c1-4(6)3-5(2)7/h4-6H,3H2,1-2H3",
