name,PAN,Carb. Acid,Ester,Ether,Per. Acid,Hydroperoxide,Nitrate,Aldehyde,Ketone,Alcohol,Criegee,Alkoxy rad,Peroxalkyl rad,Peroxyacyl rad,Aromatic rings,Carbons,HydroCarbon,Atoms,nogroups
C88OOH,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,8,0,12,0
C1013CO2H,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,11,0,15,0
DIIPRETO2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,6,0,9,0
M2BKAOOH,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,0,9,0
MMALANHY,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,8,0
C312COCO3H,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,4,0,9,0
MEK2OO,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,7,0
C7EDCOOH,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,7,0,12,0
NMXYQO2,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,8,0,16,0
PXYL1O2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,9,0
C827OOH,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,8,0,12,0
NDNPBZLOOH,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,9,0,24,0
CO23C5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,7,0
CO23C6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,8,0
TOL1O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,8,0
CH3SOO2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0
IPROPOLPER,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,0,7,0
NDNPETLOOH,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,9,0,24,0
C61O,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,6,0,9,0
C3NO3COOOH,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3,0,10,0
C1312O,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,13,0,17,0
PROL1MCO3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,9,0
CH3CHOHCHO,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,5,0
C78O,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,7,0,10,0
MNO3COC4O,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,6,0,12,0
BZEMUCCO3H,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,6,0,11,0
MACRNB,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,4,0,10,0
COHM2CO3H,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,9,0
TL4OHNO2O2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,7,0,16,0
PHIC3O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,10,0
OTNCATECO,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,9,0,18,0
OTNCATECH,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,9,0,14,0
