,source,target,flux
2918,MXNCATCOOH,MXNCATECO,[19.07010067 -inf]
2919,MXNCATECO2,MXNCATECO,[24.34057855 17.42808796]
2920,MXNNCATOOH,MXNNCATCO,[19.23904631 -inf]
2921,MXNNCATCO2,MXNNCATCO,[24.59728807 20.40384288]
2922,C517CO3,C517PAN,[24.54055487 24.38516837]
2923,C5CO14O2,C5COO2NO2,[26.08662634 25.0843068 ]
2924,BUT2OLO2,BUT2OLOOH,[22.69937141 24.15230866]
2925,MXYLCO3,MXYLPAN,[24.56113552 23.98785643]
2926,MXOHNO2OOH,MXYOHNO2O,[18.60342524 -inf]
2927,MXYOHNO2O2,MXYOHNO2O,[24.28471241 22.76850021]
2928,A2PANOO,A2PAN,[19.12632302 20.78318135]
2929,NBPINAOOH,NBPINAO,[21.50345423 -inf]
2930,NBPINAO2,NBPINAO,[23.62357024 24.95796212]
2931,NBPINBOOH,NBPINBO,[20.83159094 -inf]
2932,NBPINBO2,NBPINBO,[22.99660523 24.31728178]
2933,CO3H4CO3,CO3H4PAN,[25.42255427 24.57036818]
2934,IPRHOCO3,C4PAN5,[21.90311169 21.1201402 ]
2935,C5CO2OHCO3,C5COOHCO3H,[17.47540114 16.71580603]
2936,C4NO3CO3,C4NO3PAN,[17.70732637 20.42433701]
2937,C727O2,C727OOH,[19.99968788 20.47870943]
2938,NC3CO3,NC3CO3H,[17.91662403 20.57278597]
2939,C728OOH,C728O,[18.73179272 -inf]
2940,C728O2,C728O,[24.12123413 21.16996089]
2941,NC4CO3,NC4CO3H,[18.7913257 21.99308532]
2942,NNCATECO,NC4DCO2H,[23.45456398 20.03428711]
2943,DNPHENO,NC4DCO2H,[22.36500531 20.92823767]
2944,NCATECO,NC4DCO2H,[23.1903576 16.88730434]
2945,NDNPHENO,NC4DCO2H,[21.65962884 23.46583694]
2946,HO2C3CO3,C4PAN3,[23.30431919 22.63591924]
2947,C5EDBCO3,C5EDBPAN,[22.20927158 22.08309971]
2948,NC4H9NO3,NC4H9O,[19.78006373 -inf]
2949,NC4H9OOH,NC4H9O,[17.98254022 -inf]
2950,NC4H9O2,NC4H9O,[23.25247542 21.20105225]
2951,PNNCATECO,NC4PDCO2H,[24.24764451 20.286608 ]
2952,DNPBNZLO,NC4PDCO2H,[22.14305415 20.73449526]
2953,NDNPBNZLO,NC4PDCO2H,[21.75427257 23.58354092]
2954,PNCATECO,NC4PDCO2H,[23.99093537 17.23635709]
2955,NC51OOH,NC51O,[18.97635455 -inf]
2956,NC51O2,NC51O,[21.36766581 22.23796867]
2957,CY6COCOOOH,CY6DIONO,[16.93558936 -inf]
2958,CY6DIONO2,CY6DIONO,[23.07363534 21.00866253]
2959,NC623OOH,NC623O,[17.44372369 -inf]
2960,NC623O2,NC623O,[22.03944293 21.67525568]
2961,HO2C4CO3,C5PAN1,[23.72790974 23.26875555]
2962,NC61CO3,NC6PAN1,[20.60523596 19.65451775]
2963,C54O2,C54OOH,[20.60337545 20.76298872]
2964,NC728OOH,NC728O,[18.29197135 -inf]
2965,NC728O2,NC728O,[22.2538727 22.57211767]
2966,HOIPRCO3,C4PAN4,[23.63763952 22.77084491]
2967,HO24C4CO3,C5PAN10,[20.58722029 20.28074774]
2968,NC730OOH,NC730O,[16.56061124 -inf]
2969,NC730O2,NC730O,[21.11773649 20.61410917]
2970,NC826OH,NC826O,[18.4162486 19.76827935]
2971,NC826OOH,NC826O,[18.77039292 -inf]
2972,NC826O2,NC826O,[22.08316274 22.96711618]
2973,NC91CO3,NC91PAN,[21.70889331 23.82584154]
2974,H2M2C3CO3,C5PAN11,[23.14538689 22.70715638]
2975,C729CO3,C729PAN,[23.87196545 23.76457699]
2976,NCRESOH,NCRESO,[18.35392892 20.43308371]
2977,NCRESOOH,NCRESO,[18.40086256 -inf]
2978,NCRESO2,NCRESO,[24.03972063 22.86464899]
2979,C87CO3,C87PAN,[23.06998649 22.04719982]
2980,NDMEPHOLOH,NDMEPHOLO,[18.93293411 21.66154185]
2981,NDMEPLOOH,NDMEPHOLO,[18.92291886 -inf]
2982,NDMEPHOLO2,NDMEPHOLO,[24.59587318 23.98789834]
2983,NDMMALYOOH,NDMMALYO,[18.85030414 -inf]
2984,NDMMALYO2,NDMMALYO,[23.50127132 22.23732799]
2985,C72OH,C72O,[17.61704727 -inf]
2986,C72OOH,C72O,[19.27054245 -inf]
2987,C72NO3,C72O,[22.19802322 -inf]
2988,C72O2,C72O,[24.52191113 22.33470806]
2989,H13C43CO3,C5PAN12,[20.86867426 20.98685194]
2990,C730OOH,C730O,[17.63117193 -inf]
2991,C730O2,C730O,[22.95381194 19.18812621]
2992,C524NO3,C524O,[20.92840221 -inf]
2993,C524OOH,C524O,[18.36315665 -inf]
2994,C524O2,C524O,[23.93170584 22.13081686]
2995,C42CO3,C5PAN13,[16.66863136 17.23392973]
2996,HO2C43CO3,C5PAN14,[17.95848882 18.09634307]
2997,CO3C4CO3,C5PAN16,[24.63014992 24.07441036]
2998,NEBNZOLOH,NEBNZOLO,[18.43934747 20.56621305]
2999,NEBNZOLOOH,NEBNZOLO,[18.50064973 -inf]
3000,NEBNZOLO2,NEBNZOLO,[24.11947348 22.99925615]
3001,BPINAOOH,BPINAO,[19.85893604 -inf]
3002,BPINAO2,BPINAO,[24.60530455 22.71803201]
3003,NIPBNZOLOH,NIPBNZOLO,[18.67868713 20.80095449]
3004,NIPBZOLOOH,NIPBNZOLO,[18.76076789 -inf]
3005,NIPBNZOLO2,NIPBNZOLO,[24.35944818 23.23476248]
3006,C731CO3,C731PAN,[23.58468721 22.71522892]
3007,NLIMALOOH,NLIMALO,[20.48276635 -inf]
3008,NLIMALO2,NLIMALO,[22.5879859 24.8482901]
3009,C103OH,C103O,[16.02499618 -inf]
3010,C103OOH,C103O,[17.83975814 -inf]
3011,C103NO3,C103O,[20.73790054 -inf]
3012,C103O2,C103O,[23.02126652 20.83620877]
3013,C732OH,C732CO,[17.39677259 17.44460106]
3014,C732OOH,C732CO,[19.32129904 18.57761025]
3015,C732NO3,C732CO,[21.65874088 19.27969041]
3016,C732PAN,C732CO,[22.25865874 20.07367532]
3017,C732O2,C732CO,[17.64533004 18.21133314]
3018,C113OH,C113O,[16.0155375 -inf]
3019,C113OOH,C113O,[17.84317573 -inf]
3020,C113NO3,C113O,[20.73957408 -inf]
3021,C113O2,C113O,[23.01201092 20.82539948]
3022,CYHEXOLAO2,CYHXOLAOOH,[16.17915455 18.94842592]
3023,CYHXONAOOH,CYHXONAO,[18.18335409 -inf]
3024,CYHXONANO3,CYHXONAO,[20.37725668 -inf]
3025,CYHXONAO2,CYHXONAO,[23.61805581 21.48953901]
3026,NMETOLOH,NMETOLO,[19.22876517 21.17671585]
3027,NMETOLOOH,NMETOLO,[19.32642923 -inf]
3028,NMETOLO2,NMETOLO,[24.91320141 23.60050225]
3029,NC4CO3,C5PAN18,[23.38332268 25.89331129]
3030,NMXYOLOH,NMXYOLO,[19.4212981 21.38886323]
3031,NMXYOLOOH,NMXYOLO,[19.49824087 -inf]
3032,NMXYOLO2,NMXYOLO,[25.10283822 23.81891863]
3033,NAOO,NO3CH2CO2H,[20.42894943 22.38971191]
3034,NC2OO,NO3CH2CO2H,[21.11521444 19.34055625]
3035,NO3CH2CO3,NO3CH2CO2H,[18.44717779 20.64923758]
3036,NO3CH2CO3,NO3CH2PAN,[23.15641608 24.12370223]
3037,NOETOLO2,NOETOLOOH,[21.19447485 22.89940877]
3038,C23O3MO2,C23O3MCOOH,[22.46663523 23.14666853]
3039,C626CO3,C626PAN,[24.0072588 24.29458241]
3040,C57NO3CO3,C57NO3PAN,[22.25333099 21.37069309]
3041,NOPINCO2,NOPINCNO3,[22.68793208 21.75279497]
3042,C61CO3,C61CPAN,[23.30886238 22.48691724]
3043,C733OOH,C733O,[17.1764176 -inf]
3044,C733O2,C733O,[22.57658776 19.2850769 ]
3045,C57OH,C57O,[16.77968247 15.76317856]
3046,C57OOH,C57O,[18.22202538 -inf]
3047,C57O2,C57O,[23.59354612 19.11085858]
3048,NOXYOLOH,NOXYOLO,[17.93592315 20.04437849]
3049,NOXYOLOOH,NOXYOLO,[17.91646369 -inf]
3050,NOXYOLO2,NOXYOLO,[23.60719472 22.36562567]
3051,CO2C4CO3,C5PAN2,[24.10809748 23.54019436]
3052,HOIBUTCO3,C5PAN3,[21.69129845 21.83415292]
3053,NPBNZOLOH,NPBNZOLO,[18.60293477 20.72498777]
3054,NPBNZOLOOH,NPBNZOLO,[18.68504301 -inf]
3055,NPBNZOLO2,NPBNZOLO,[24.28375338 23.15879795]
3056,C88CO3,C88PAN,[23.38875961 22.953837 ]
3057,DIEKAO2,DIEKAOOH,[19.1610582 19.98665599]
3058,C923CO3,C923PAN,[24.26621284 25.0464874 ]
3059,NPETOLOH,NPETOLO,[18.89832133 20.98782818]
3060,NPETOLOOH,NPETOLO,[18.89931913 -inf]
3061,NPETOLO2,NPETOLO,[24.56912369 23.30951869]
3062,NPHENOH,NPHENO,[17.57196194 19.90975791]
3063,NPHENOOH,NPHENO,[17.5505236 -inf]
3064,NPHENO2,NPHENO,[23.22912224 22.34429814]
3065,NPHENO2,NPHENOOH,[19.70644702 21.76238489]
3066,NTM123OLO2,NTM123LOOH,[20.86412328 22.58141592]
3067,NTM123OLOH,NTM123OLO,[18.6795745 20.8605495]
3068,NTM123LOOH,NTM123OLO,[18.57286184 -inf]
3069,NTM123OLO2,NTM123OLO,[24.31904671 23.09557739]
3070,NTM124OLO2,NTM124LOOH,[20.92715942 22.63929977]
3071,NTM124OLOH,NTM124OLO,[18.71211002 20.83163667]
3072,NTM124LOOH,NTM124OLO,[18.71275008 -inf]
3073,NTM124OLO2,NTM124OLO,[24.38208285 23.15346124]
3074,CHOC4DOLO2,ALC4DOLOOH,[20.55191439 20.20400903]
3075,NTM135OLO2,NTM135LOOH,[21.22581349 23.56078712]
3076,NTM135OLOH,NTM135OLO,[19.0228051 21.75142602]
3077,NTM135LOOH,NTM135OLO,[19.00315021 -inf]
3078,NTM135OLO2,NTM135OLO,[24.68558942 24.07980108]
