,name,smiles,inchi
1300,C3H6,CC=C,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3"
1301,ACEETOHO2,CC(=O)OC(O)CO[O],"InChI=1S/C4H7O5/c1-3(5)9-4(6)2-8-7/h4,6H,2H2,1H3"
1302,OXYBPER2OH,OC1C2C=CC(C)(O)C1(C)OO2,"InChI=1S/C8H12O4/c1-7(10)4-3-5-6(9)8(7,2)12-11-5/h3-6,9-10H,1-2H3"
1303,HO7C8OOH,CCCCCCC(O)COO,"InChI=1S/C8H18O3/c1-2-3-4-5-6-8(9)7-11-10/h8-10H,2-7H2,1H3"
1304,C118CO,OCCC(=O)C(=O)CC(C)(C)C(=O)CC=O,"InChI=1S/C11H16O5/c1-11(2,10(16)4-6-13)7-9(15)8(14)3-5-12/h6,12H,3-5,7H2,1-2H3"
1305,C3H8,CCC,"InChI=1S/C3H8/c1-3-2/h3H2,1-2H3"
1306,BCKOOA,O=CCCC(=O)C1CC(C)(C)C1CCC(=[O+][O-])C,"InChI=1S/C14H22O4/c1-10(18-17)6-7-12-11(9-14(12,2)3)13(16)5-4-8-15/h8,11-12H,4-7,9H2,1-3H3"
1307,BCKOOB,[O-][O+]=CCCC(=O)C1CC(C)(C)C1CCC(=O)C	,"InChI=1S/C14H22O4/c1-10(15)6-7-12-11(9-14(12,2)3)13(16)5-4-8-18-17/h8,11-12H,4-7,9H2,1-3H3"
1308,C6135COOOH,OOCC(=O)CC(=O)CC=O,"InChI=1S/C6H8O5/c7-2-1-5(8)3-6(9)4-11-10/h2,10H,1,3-4H2"
1309,NPRACCOH,CC(=O)OCCCO,"InChI=1S/C5H10O3/c1-5(7)8-4-2-3-6/h6H,2-4H2,1H3"
1310,MEBFUONE,CCC1OC(=O)C(=C1)C,"InChI=1S/C7H10O2/c1-3-6-4-5(2)7(8)9-6/h4,6H,3H2,1-2H3"
1311,C124O,CCCCCCC(=O)C([O])CC(=O)CC,"InChI=1S/C12H21O3/c1-3-5-6-7-8-11(14)12(15)9-10(13)4-2/h12H,3-9H2,1-2H3"
1312,BOXCOEOLO,CCCC([O])OC(=O)C(C)O,"InChI=1S/C7H13O4/c1-3-4-6(9)11-7(10)5(2)8/h5-6,8H,3-4H2,1-2H3"
1313,HO1C4O,OCCCC[O],"InChI=1S/C4H9O2/c5-3-1-2-4-6/h5H,1-4H2"
1314,MPRKNO3,CC(=O)CC(C)ON(=O)=O,"InChI=1S/C5H9NO4/c1-4(7)3-5(2)10-6(8)9/h5H,3H2,1-2H3"
1315,NBUTOLANO3,CCC(CO)ON(=O)=O,"InChI=1S/C4H9NO4/c1-2-4(3-6)9-5(7)8/h4,6H,2-3H2,1H3"
1316,OETLMUCOOH,OOC(C=O)C(O)C1(C)OC1(CC)C=O,"InChI=1S/C9H14O6/c1-3-9(5-11)8(2,15-9)7(12)6(4-10)14-13/h4-7,12-13H,3H2,1-2H3"
1317,HO5C5CO3H,CCCCC(O)C(=O)OO,"InChI=1S/C6H12O4/c1-2-3-4-5(7)6(8)10-9/h5,7,9H,2-4H2,1H3"
1318,ETHFORMOOH,CC(OC=O)OO,"InChI=1S/C3H6O4/c1-3(7-5)6-2-4/h2-3,5H,1H3"
1319,EBENZO,CCc1ccccc1[O],"InChI=1S/C8H9O/c1-2-7-5-3-4-6-8(7)9/h3-6H,2H2,1H3"
1320,MOXYCOCHO,COC(=O)C=O,"InChI=1S/C3H4O3/c1-6-3(5)2-4/h2H,1H3"
1321,TM135MUO3H,OOC(=O)C1(C)OC1C(=CC(=O)C)C,"InChI=1S/C9H12O5/c1-5(4-6(2)10)7-9(3,13-7)8(11)14-12/h4,7,12H,1-3H3"
1322,C714O,CC(=O)C([O])C(C)C(=O)C,"InChI=1S/C7H11O3/c1-4(5(2)8)7(10)6(3)9/h4,7H,1-3H3"
1323,NLIMO2,[O-][N+](=O)OC1CC(CCC1(C)O[O])C(=C)C,"InChI=1S/C10H16NO5/c1-7(2)8-4-5-10(3,16-14)9(6-8)15-11(12)13/h8-9H,1,4-6H2,2-3H3"
1324,ACCOC3H6O,CC([O])CC(=O)OC(=O)C,"InChI=1S/C6H9O4/c1-4(7)3-6(9)10-5(2)8/h4H,3H2,1-2H3"
1325,IECCO3H,CC1(CO1)C(O)C(=O)OO,"InChI=1S/C5H8O5/c1-5(2-9-5)3(6)4(7)10-8/h3,6,8H,2H2,1H3"
1326,C817CO,O=CC(CCC(=O)C)C(=O)C,"InChI=1S/C8H12O3/c1-6(10)3-4-8(5-9)7(2)11/h5,8H,3-4H2,1-2H3"
1327,CCLCONO3,O=CC(Cl)ON(=O)=O,InChI=1S/C2H2ClNO4/c3-2(1-5)8-4(6)7/h1-2H
1328,C56O2,[O]OCC(O)C(C)CO,"InChI=1S/C5H11O4/c1-4(2-6)5(7)3-9-8/h4-7H,2-3H2,1H3"
1329,H2C3OCOH,OCOCC(C)O,"InChI=1S/C4H10O3/c1-4(6)2-7-3-5/h4-6H,2-3H2,1H3"
1330,M3HEXBOH,CCCC(C)(O)CC,"InChI=1S/C7H16O/c1-4-6-7(3,8)5-2/h8H,4-6H2,1-3H3"
1331,M3HEXBO2,CCCC(C)(CC)O[O],"InChI=1S/C7H15O2/c1-4-6-7(3,5-2)9-8/h4-6H2,1-3H3"
1332,METLMUCO3H,CCC(=O)C=CC1OC1(C)C(=O)OO,"InChI=1S/C9H12O5/c1-3-6(10)4-5-7-9(2,13-7)8(11)14-12/h4-5,7,12H,3H2,1-2H3"
1333,ACOMCOMOOH,OOCC(=O)CC(=O)OC(=O)C,"InChI=1S/C6H8O6/c1-4(7)12-6(9)2-5(8)3-11-10/h10H,2-3H2,1H3"
1334,CHOC3COO2,[O]OCC(=O)CC=O,"InChI=1S/C4H5O4/c5-2-1-4(6)3-8-7/h2H,1,3H2"
1335,TM124BCHO,O=Cc1ccc(C)c(C)c1,"InChI=1S/C9H10O/c1-7-3-4-9(6-10)5-8(7)2/h3-6H,1-2H3"
1336,HO3C96O2,CCCC(O[O])CCC(O)CC,"InChI=1S/C9H19O3/c1-3-5-9(12-11)7-6-8(10)4-2/h8-10H,3-7H2,1-2H3"
1337,HO3C3CO3H,CCC(O)C(=O)OO,"InChI=1S/C4H8O4/c1-2-3(5)4(6)8-7/h3,5,7H,2H2,1H3"
1338,C56OH,OCC(O)C(C)CO,"InChI=1S/C5H12O3/c1-4(2-6)5(8)3-7/h4-8H,2-3H2,1H3"
1339,DETLOBPROH,CCC1=CC2(CC)OOC(C)(C1=O)C2O,"InChI=1S/C11H16O4/c1-4-7-6-11(5-2)9(13)10(3,8(7)12)14-15-11/h6,9,13H,4-5H2,1-3H3"
1340,M2PROPAL2O,O=CC(C)(C)[O],"InChI=1S/C4H7O2/c1-4(2,6)3-5/h3H,1-2H3"
1341,NC4EDCO2H,O=CC(=C(CC)C(=O)O)N(=O)=O,"InChI=1S/C6H7NO5/c1-2-4(6(9)10)5(3-8)7(11)12/h3H,2H2,1H3,(H,9,10)"
1342,MBOACO,OCC(=O)C(C)(C)O,"InChI=1S/C5H10O3/c1-5(2,8)4(7)3-6/h6,8H,3H2,1-2H3"
1343,C6CYTONO,O=C1CC(=O)C([O])C(=O)C1,"InChI=1S/C6H5O4/c7-3-1-4(8)6(10)5(9)2-3/h6H,1-2H2"
1344,BOXCOCHOO2,CCCC(OC(=O)C=O)O[O],"InChI=1S/C6H9O5/c1-2-3-6(11-9)10-5(8)4-7/h4,6H,2-3H2,1H3"
1345,C142O,OCCC(=C)C1([O])CC(C)(C)C1CCC(=O)C,"InChI=1S/C14H23O3/c1-10(7-8-15)14(17)9-13(3,4)12(14)6-5-11(2)16/h12,15H,1,5-9H2,2-4H3"
1346,MXYQO,O=C1C=C(C)C(=O)C(C)([O])C1O,"InChI=1S/C8H9O4/c1-4-3-5(9)7(11)8(2,12)6(4)10/h3,7,11H,1-2H3"
1347,MIBKAOHAO2,[O]OC(C(=O)C)C(C)(C)O,"InChI=1S/C6H11O4/c1-4(7)5(10-9)6(2,3)8/h5,8H,1-3H3"
1348,HMVKBCO2H,OCC(C(=O)C)C(=O)O,"InChI=1S/C5H8O4/c1-3(7)4(2-6)5(8)9/h4,6H,2H2,1H3,(H,8,9)"
1349,PXYLPAN,Cc1ccc(cc1)C(=O)OON(=O)=O,"InChI=1S/C8H7NO5/c1-6-2-4-7(5-3-6)8(10)13-14-9(11)12/h2-5H,1H3"
1350,C51NO32OOH,CCCC(OO)CON(=O)=O,"InChI=1S/C5H11NO5/c1-2-3-5(11-9)4-10-6(7)8/h5,9H,2-4H2,1H3"
1351,DIET35TOL,CCc1cc(CC)cc(C)c1,"InChI=1S/C11H16/c1-4-10-6-9(3)7-11(5-2)8-10/h6-8H,4-5H2,1-3H3"
1352,HC4CO3H,CC(=C)C(C(=O)OO)O,"InChI=1S/C5H8O4/c1-3(2)4(6)5(7)9-8/h4,6,8H,1H2,2H3"
1353,C86O2,O=CCC(C(=O)C)C(C)(C)O[O],"InChI=1S/C8H13O4/c1-6(10)7(4-5-9)8(2,3)12-11/h5,7H,4H2,1-3H3"
1354,MBOBCO,O=CC(O)C(C)(C)O,"InChI=1S/C5H10O3/c1-5(2,8)4(7)3-6/h3-4,7-8H,1-2H3"
1355,C8CO2OHPAN,O=CC(O)C(=O)C(=CC(=O)OON(=O)=O)C(C)C,"InChI=1S/C9H11NO8/c1-5(2)6(9(14)7(12)4-11)3-8(13)17-18-10(15)16/h3-5,7,12H,1-2H3"
1356,CHOC2PAN,O=CCCC(=O)OON(=O)=O,"InChI=1S/C4H5NO6/c6-3-1-2-4(7)10-11-5(8)9/h3H,1-2H2"
1357,PBZBPERNO3,CCCC12C=CC(ON(=O)=O)C(OO1)C2O,"InChI=1S/C9H13NO6/c1-2-4-9-5-3-6(14-10(12)13)7(8(9)11)15-16-9/h3,5-8,11H,2,4H2,1H3"
1358,DM35EBOH,Cc1cc(C)cc(c1)C(C)O,"InChI=1S/C10H14O/c1-7-4-8(2)6-10(5-7)9(3)11/h4-6,9,11H,1-3H3"
1359,C53OH,OCC(=O)C(C)CO,"InChI=1S/C5H10O3/c1-4(2-6)5(8)3-7/h4,6-7H,2-3H2,1H3"
1360,HCOCOHCO3H,OC(C=O)C(=O)OO,"InChI=1S/C3H4O5/c4-1-2(5)3(6)8-7/h1-2,5,7H"
1361,BOXPOLAOOH,CCCC(OO)OCC(C)O,"InChI=1S/C7H16O4/c1-3-4-7(11-9)10-5-6(2)8/h6-9H,3-5H2,1-2H3"
1362,NBUTDBO2,[O]OCC=CCON(=O)=O,"InChI=1S/C4H6NO5/c6-5(7)9-3-1-2-4-10-8/h1-2H,3-4H2"
1363,NIPRBQOOH,OOC1C(=O)C=C(C(C)C)C(=O)C1ON(=O)=O,"InChI=1S/C9H11NO7/c1-4(2)5-3-6(11)8(17-15)9(7(5)12)16-10(13)14/h3-4,8-9,15H,1-2H3"
1364,C5CO2DCO3H,O=CC(=O)C=C(C)C(=O)OO,"InChI=1S/C6H6O5/c1-4(6(9)11-10)2-5(8)3-7/h2-3,10H,1H3"
1365,CISOPCO2,[O]OC/C(=C\CO)/C,"InChI=1S/C5H9O3/c1-5(2-3-6)4-8-7/h2,6H,3-4H2,1H3/b5-2-"
1366,HO34CO6C8,CCC(=O)CC(O)C(O)CC,"InChI=1S/C8H16O3/c1-3-6(9)5-8(11)7(10)4-2/h7-8,10-11H,3-5H2,1-2H3"
1367,OXYMUCCO,O=CC(=O)C(O)C1(C)OC1(C)C=O,"InChI=1S/C8H10O5/c1-7(4-10)8(2,13-7)6(12)5(11)3-9/h3-4,6,12H,1-2H3"
1368,NTMB2FUOOH,OOC1(C)C(=O)OC(C)C1(C)ON(=O)=O,"InChI=1S/C7H11NO7/c1-4-6(2,14-8(10)11)7(3,15-12)5(9)13-4/h4,12H,1-3H3"
1369,DNOETOLO2,CCC12OOC(N(=O)=O)(C2O)C(O)(O[O])C(=C1C)N(=O)=O,"InChI=1S/C9H11N2O10/c1-3-7-4(2)5(10(14)15)9(13,19-18)8(6(7)12,11(16)17)21-20-7/h6,12-13H,3H2,1-2H3"
1370,M3CO5C6,CCC(C)CC(=O)C,"InChI=1S/C7H14O/c1-4-6(2)5-7(3)8/h6H,4-5H2,1-3H3"
1371,C9PAN1,CCCCCCC(O)CC(=O)OON(=O)=O,"InChI=1S/C9H17NO6/c1-2-3-4-5-6-8(11)7-9(12)15-16-10(13)14/h8,11H,2-7H2,1H3"
1372,NC4CO2H,O=N(=O)OCC(=CC(=O)O)C,"InChI=1S/C5H7NO5/c1-4(2-5(7)8)3-11-6(9)10/h2H,3H2,1H3,(H,7,8)"
1373,C9PAN2,O=N(=O)OOC(=O)C1CC(C(=O)C)C1(C)C,"InChI=1S/C9H13NO6/c1-5(11)6-4-7(9(6,2)3)8(12)15-16-10(13)14/h6-7H,4H2,1-3H3"
1374,MXCATEC1O,Cc1cc(C)c([O])c(O)c1,"InChI=1S/C8H9O2/c1-5-3-6(2)8(10)7(9)4-5/h3-4,9H,1-2H3"
1375,C6OH5OOH,CCCCC(CO)OO,"InChI=1S/C6H14O3/c1-2-3-4-6(5-7)9-8/h6-8H,2-5H2,1H3"
1376,PNNCATECO,CCCC12OOC(C(=C(O)C2([O])O)N(=O)=O)C1ON(=O)=O,"InChI=1S/C9H11N2O10/c1-2-3-8-7(19-11(17)18)5(20-21-8)4(10(15)16)6(12)9(8,13)14/h5,7,12-13H,2-3H2,1H3"
1377,OXYEPOXMUC,O=CC=CC1(C)OC1(C)C=O,"InChI=1S/C8H10O3/c1-7(4-3-5-9)8(2,6-10)11-7/h3-6H,1-2H3"
1378,DNPBNZLO,CCCC12OOC(C=C(N(=O)=O)C2([O])O)(N(=O)=O)C1O,"InChI=1S/C9H11N2O9/c1-2-3-7-6(12)8(11(17)18,20-19-7)4-5(10(15)16)9(7,13)14/h4,6,12-13H,2-3H2,1H3"
1379,BOXCOCOMO2,CCCC(O[O])OC(=O)C(=O)C,"InChI=1S/C7H11O5/c1-3-4-6(12-10)11-7(9)5(2)8/h6H,3-4H2,1-2H3"
1380,CYC613DION,O=C1CCCC(=O)C1,InChI=1S/C6H8O2/c7-5-2-1-3-6(8)4-5/h1-4H2
1381,TM123MUCO2,[O]OC(C(O)C(=O)C)C1OC1(C)C(=O)C,"InChI=1S/C9H13O6/c1-4(10)6(12)7(15-13)8-9(3,14-8)5(2)11/h6-8,12H,1-3H3"
1382,HOCO3C5OOH,OCCC(=O)C(C)OO,"InChI=1S/C5H10O4/c1-4(9-8)5(7)2-3-6/h4,6,8H,2-3H2,1H3"
1383,C4CODIAL,O=CCC(=O)C=O,"InChI=1S/C4H4O3/c5-2-1-4(7)3-6/h2-3H,1H2"
1384,IC3H7NO3,CC(C)ON(=O)=O,"InChI=1S/C3H7NO3/c1-3(2)7-4(5)6/h3H,1-2H3"
1385,NDNMXYLOOH,OOC1(O)C(=C(N(=O)=O)C2(OOC1(C)C2ON(=O)=O)N(=O)=O)C,"InChI=1S/C8H9N3O12/c1-3-4(9(13)14)7(10(15)16)5(20-11(17)18)6(2,22-23-7)8(3,12)21-19/h5,12,19H,1-2H3"
1386,INCNCO3H,OOC(=O)C(ON(=O)=O)C(C)(O)CON(=O)=O,"InChI=1S/C5H8N2O10/c1-5(9,2-15-6(10)11)3(4(8)17-14)16-7(12)13/h3,9,14H,2H2,1H3"
1387,C7MCO3OHO,O=CC(=O)C(O)C([O])C(=O)C(C)C,"InChI=1S/C8H11O5/c1-4(2)6(11)8(13)7(12)5(10)3-9/h3-4,7-8,12H,1-2H3"
1388,T123CTCOOA,[O-][O+]=C(O)C(=C(C)C(=CC(=O)O)C)C,"InChI=1S/C9H12O5/c1-5(4-8(10)11)6(2)7(3)9(12)14-13/h4,12H,1-3H3,(H,10,11)"
1389,TM123MUCOH,OC(C(=O)C)C(O)C1OC1(C)C(=O)C,"InChI=1S/C9H14O5/c1-4(10)6(12)7(13)8-9(3,14-8)5(2)11/h6-8,12-13H,1-3H3"
1390,C5NO3O4OOH,OOC(C)C(=O)C(C)ON(=O)=O,"InChI=1S/C5H9NO6/c1-3(11-6(8)9)5(7)4(2)12-10/h3-4,10H,1-2H3"
1391,BCSOZO,OCC1([O])CCC2OOC(C)(CCC3C1CC3(C)C)O2,"InChI=1S/C15H25O5/c1-13(2)8-11-10(13)4-6-14(3)18-12(19-20-14)5-7-15(11,17)9-16/h10-12,16H,4-9H2,1-3H3"
1392,H2C3OCOOH,OOCOCC(C)O,"InChI=1S/C4H10O4/c1-4(5)2-7-3-8-6/h4-6H,2-3H2,1H3"
1393,HEX3ONCO,CCCC(=O)C(C)[O],"InChI=1S/C6H11O2/c1-3-4-6(8)5(2)7/h5H,3-4H2,1-2H3"
1394,C615O,O=CC([O])C(C)(C)C=O,"InChI=1S/C6H9O3/c1-6(2,4-8)5(9)3-7/h3-5H,1-2H3"
1395,CO356C10,CCCCC(=O)C(=O)CC(=O)CC,"InChI=1S/C10H16O3/c1-3-5-6-9(12)10(13)7-8(11)4-2/h3-7H2,1-2H3"
1396,CO356C11,CCCCCC(=O)C(=O)CC(=O)CC,"InChI=1S/C11H18O3/c1-3-5-6-7-10(13)11(14)8-9(12)4-2/h3-8H2,1-2H3"
1397,CO356C12,CCCCCCC(=O)C(=O)CC(=O)CC,"InChI=1S/C12H20O3/c1-3-5-6-7-8-11(14)12(15)9-10(13)4-2/h3-9H2,1-2H3"
1398,TDICLETH,Cl/C=C/Cl,InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H/b2-1+
1399,MC6OTRIKET,CC(OC(=O)C(=O)C)C(=O)C,"InChI=1S/C7H10O4/c1-4(8)6(3)11-7(10)5(2)9/h6H,1-3H3"
1400,CHOMOHPAN,O=CC(C)(O)C(=O)OON(=O)=O,"InChI=1S/C4H5NO7/c1-4(8,2-6)3(7)11-12-5(9)10/h2,8H,1H3"
1401,CLCOCCL2O2,[O]OC(Cl)(Cl)C(=O)Cl,"InChI=1S/C2Cl3O3/c3-1(6)2(4,5)8-7"
1402,EGLYOOD,[O-][O+]=CC(=O)CC,"InChI=1S/C4H6O3/c1-2-4(5)3-7-6/h3H,2H2,1H3"
1403,BCALCOOH,OOC(C=O)CC(=C)C1CC(C)(C)C1CCC(=O)C,"InChI=1S/C15H24O4/c1-10(7-12(9-16)19-18)13-8-15(3,4)14(13)6-5-11(2)17/h9,12-14,18H,1,5-8H2,2-4H3"
1404,C6NO3CO5O,CC([O])CC(=O)C(C)ON(=O)=O,"InChI=1S/C6H10NO5/c1-4(8)3-6(9)5(2)12-7(10)11/h4-5H,3H2,1-2H3"
1405,METLMUCO2H,CC1(OC1C=CC(=O)CC)C(=O)O,"InChI=1S/C9H12O4/c1-3-6(10)4-5-7-9(2,13-7)8(11)12/h4-5,7H,3H2,1-2H3,(H,11,12)"
1406,BCALBO2,O=CCCC(=C)C1CC(C)(C)C1CCC(=O)CO[O],"InChI=1S/C15H23O4/c1-11(5-4-8-16)13-9-15(2,3)14(13)7-6-12(17)10-19-18/h8,13-14H,1,4-7,9-10H2,2-3H3"
1407,HOCO3C4OOH,OCCC(=O)COO,"InChI=1S/C4H8O4/c5-2-1-4(6)3-8-7/h5,7H,1-3H2"
1408,C92O,CCCCC(O)CC(=O)C(C)[O],"InChI=1S/C9H17O3/c1-3-4-5-8(11)6-9(12)7(2)10/h7-8,11H,3-6H2,1-2H3"
1409,MVKOHAOH,OCC(=O)C(O)CO,"InChI=1S/C4H8O4/c5-1-3(7)4(8)2-6/h3,5-7H,1-2H2"
1410,C7CO2OCO3H,OOC(=O)C(=CC(=O)C(O)C(=O)C)C,"InChI=1S/C8H10O6/c1-4(8(12)14-13)3-6(10)7(11)5(2)9/h3,7,11,13H,1-2H3"
1411,C4M2ALOHNO3,O=CC(O)C(C)(C=O)ON(=O)=O,"InChI=1S/C5H7NO6/c1-5(3-8,4(9)2-7)12-6(10)11/h2-4,9H,1H3"
1412,C732PAN,OC(=O)CCC(CC(=O)OO[N+](=O)[O-])C(=O)C,"InChI=1S/C8H11NO8/c1-5(10)6(2-3-7(11)12)4-8(13)16-17-9(14)15/h6H,2-4H2,1H3,(H,11,12)"
1413,CO2C4GLYOX,O=CC(=O)CCC(=O)C,"InChI=1S/C6H8O3/c1-5(8)2-3-6(9)4-7/h4H,2-3H2,1H3"
1414,DIEK,CCC(=O)CC,"InChI=1S/C5H10O/c1-3-5(6)4-2/h3-4H2,1-2H3"
1415,BCALBOH,O=CCCC(=C)C1CC(C)(C)C1CCC(=O)CO,"InChI=1S/C15H24O3/c1-11(5-4-8-16)13-9-15(2,3)14(13)7-6-12(18)10-17/h8,13-14,17H,1,4-7,9-10H2,2-3H3"
1416,ETBECOOH,OOCCOC(C)(C)C,"InChI=1S/C6H14O3/c1-6(2,3)8-4-5-9-7/h7H,4-5H2,1-3H3"
1417,BCALBOC,O=CCCC(=C)C1CC(C)(C)C1CCC(=O)OC,"InChI=1S/C15H24O3/c1-11(6-5-9-16)12-10-15(2,3)13(12)7-8-14(17)18-4/h9,12-13H,1,5-8,10H2,2-4H3"
1418,TM135BP2OH,CC1=CC2(C)OOC(C)(C1O)C2O,"InChI=1S/C9H14O4/c1-5-4-8(2)7(11)9(3,6(5)10)13-12-8/h4,6-7,10-11H,1-3H3"
1419,MXYOHNO2O,O=N(=O)C12OOC(C)(C=C(C)C2([O])O)C1O,"InChI=1S/C8H10NO7/c1-4-3-6(2)5(10)7(9(13)14,16-15-6)8(4,11)12/h3,5,10-11H,1-2H3"
1420,INANCO3,[O]OC(=O)C(C)(ON(=O)=O)C(O)CON(=O)=O,"InChI=1S/C5H7N2O10/c1-5(4(9)16-14,17-7(12)13)3(8)2-15-6(10)11/h3,8H,2H2,1H3"
1421,C106OH,O=CCC(=O)CC(C(=O)C)C(C)(C)O,"InChI=1S/C10H16O4/c1-7(12)9(10(2,3)14)6-8(13)4-5-11/h5,9,14H,4,6H2,1-3H3"
1422,C813O2,OCC(CC(=O)C(=O)O)C(C)(C)O[O],"InChI=1S/C8H13O6/c1-8(2,14-13)5(4-9)3-6(10)7(11)12/h5,9H,3-4H2,1-2H3,(H,11,12)"
1423,HPC52CO3H,OOCC(C(C(=O)OO)O)(OO)C,"InChI=1S/C5H10O8/c1-5(13-10,2-11-8)3(6)4(7)12-9/h3,6,8-10H,2H2,1H3"
1424,MXYMUCCO,O=CC1(C)OC1C(O)C(=O)C(=O)C,"InChI=1S/C8H10O5/c1-4(10)5(11)6(12)7-8(2,3-9)13-7/h3,6-7,12H,1-2H3"
1425,CO25C73O,CCC(=O)CC([O])C(=O)C,"InChI=1S/C7H11O3/c1-3-6(9)4-7(10)5(2)8/h7H,3-4H2,1-2H3"
1426,HM2C43CO3,OCC(C)C(C)C(=O)O[O],"InChI=1S/C6H11O4/c1-4(3-7)5(2)6(8)10-9/h4-5,7H,3H2,1-2H3"
1427,C126CO3,O=CCC1C(CC1(C)C)C(=C)CCC(=O)O[O],"InChI=1S/C13H19O4/c1-9(4-5-12(15)17-16)10-8-13(2,3)11(10)6-7-14/h7,10-11H,1,4-6,8H2,2-3H3"
1428,EIPK,CCC(=O)C(C)C,"InChI=1S/C6H12O/c1-4-6(7)5(2)3/h5H,4H2,1-3H3"
1429,MACR,CC(=C)C=O,"InChI=1S/C4H6O/c1-4(2)3-5/h3H,1H2,2H3"
1430,PRCATC1OOH,CCCc1cccc(O)c1OO,"InChI=1S/C9H12O3/c1-2-4-7-5-3-6-8(10)9(7)12-11/h3,5-6,10-11H,2,4H2,1H3"
1431,MACRNCO3H,OOC(=O)C(C)(CO)ON(=O)=O,"InChI=1S/C4H7NO7/c1-4(2-6,3(7)11-10)12-5(8)9/h6,10H,2H2,1H3"
1432,CCL3CH2OOH,OOCC(Cl)(Cl)Cl,"InChI=1S/C2H3Cl3O2/c3-2(4,5)1-7-6/h6H,1H2"
1433,NC2OOA,[O-][O+]=CCON(=O)=O,"InChI=1S/C2H3NO5/c4-3(5)7-1-2-8-6/h2H,1H2"
1434,IBUTOL,OCC(C)C,"InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3"
1435,NBUACETBO,CCC([O])COC(=O)C,"InChI=1S/C6H11O3/c1-3-6(8)4-9-5(2)7/h6H,3-4H2,1-2H3"
1436,BCOOA,O=CCCC(=C)C1CC(C)(C)C1CCC(=[O+][O-])C,"InChI=1S/C15H24O3/c1-11(6-5-9-16)13-10-15(3,4)14(13)8-7-12(2)18-17/h9,13-14H,1,5-8,10H2,2-4H3"
1437,BCOOB,[O-][O+]=CCCC(=C)C1CC(C)(C)C1CCC(=O)C,"InChI=1S/C15H24O3/c1-11(6-5-9-18-17)13-10-15(3,4)14(13)8-7-12(2)16/h9,13-14H,1,5-8,10H2,2-4H3"
1438,C106O2,O=CCC(=O)CC(C(=O)C)C(C)(C)O[O],"InChI=1S/C10H15O5/c1-7(12)9(10(2,3)15-14)6-8(13)4-5-11/h5,9H,4,6H2,1-3H3"
1439,CO3C4NO3,CCC(=O)CON(=O)=O,"InChI=1S/C4H7NO4/c1-2-4(6)3-9-5(7)8/h2-3H2,1H3"
1440,CH3CHCLOH,CC(O)Cl,"InChI=1S/C2H5ClO/c1-2(3)4/h2,4H,1H3"
1441,C617OOH,OOCC(=O)C(C)(C)C=O,"InChI=1S/C6H10O4/c1-6(2,4-7)5(8)3-10-9/h4,9H,3H2,1-2H3"
1442,CLCOCLMEO2,CC(Cl)(O[O])C(=O)Cl,"InChI=1S/C3H3Cl2O3/c1-3(5,8-7)2(4)6/h1H3"
1443,HO1MC5OOH,OCC(C)CC(C)OO,"InChI=1S/C6H14O3/c1-5(4-7)3-6(2)9-8/h5-8H,3-4H2,1-2H3"
1444,HO13C4O,OCCC(O)C[O],"InChI=1S/C4H9O3/c5-2-1-4(7)3-6/h4-5,7H,1-3H2"
1445,MO2EOLBO2,OCCOCO[O],"InChI=1S/C3H7O4/c4-1-2-6-3-7-5/h4H,1-3H2"
1446,IPROPOL,CC(C)O,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3"
1447,C715CO2O,O=CC([O])C=CC(=O)CC,"InChI=1S/C7H9O3/c1-2-6(9)3-4-7(10)5-8/h3-5,7H,2H2,1H3"
1448,MET1OOH,CCc1cc(C)ccc1OO,"InChI=1S/C9H12O2/c1-3-8-6-7(2)4-5-9(8)11-10/h4-6,10H,3H2,1-2H3"
1449,M2BUOL2O,CCC(C)([O])CO,"InChI=1S/C5H11O2/c1-3-5(2,7)4-6/h6H,3-4H2,1-2H3"
1450,MEKAOOH,OOCCC(=O)C,"InChI=1S/C4H8O3/c1-4(5)2-3-7-6/h6H,2-3H2,1H3"
1451,C1010NO3,O=CCCC(=C)C(=O)CC(C)(C)O[N+](=O)[O-],"InChI=1S/C10H15NO5/c1-8(5-4-6-12)9(13)7-10(2,3)16-11(14)15/h6H,1,4-5,7H2,2-3H3"
1452,NOPINANO3,O=N(=O)OC1CC(=O)C2CC1C2(C)C,"InChI=1S/C9H13NO4/c1-9(2)5-3-6(9)8(4-7(5)11)14-10(12)13/h5-6,8H,3-4H2,1-2H3"
1453,HONO,,
1454,MAE,CC1(CO1)C(=O)O,"InChI=1S/C4H6O3/c1-4(2-7-4)3(5)6/h2H2,1H3,(H,5,6)"
1455,C1012NO3,O=CCC(C)(C)C(CCC(=O)C)O[N+](=O)[O-],"InChI=1S/C10H17NO5/c1-8(13)4-5-9(16-11(14)15)10(2,3)6-7-12/h7,9H,4-6H2,1-3H3"
1456,HO3C76O,CCC(O)CCC(C)[O],"InChI=1S/C7H15O2/c1-3-7(9)5-4-6(2)8/h6-7,9H,3-5H2,1-2H3"
