HEXBO2+NO --> HEXBNO3  6 r:6 p:0 
CO+NC3OO --> NOA  1 r:4 p:3 
NC4CO2H+OH --> CO+HO2+NOA  1 r:5 p:4 
NC4CO3H --> CO+HO2+NOA+OH  1 r:5 p:4 
C5PAN18+OH --> CO+NOA+NO2  1 r:5 p:4 
CO+NOAOO --> NOA  1 r:4 p:3 
HMML+OH --> HCOOH+CH3CO3  1 r:4 p:3 
HMML+OH --> MGLYOX+OH  1 r:4 p:3 
MAE+OH --> CH3COCH2O2  1 r:4 p:3 
MACRNCO3+HO2 --> ACETOL+NO2+OH  1 r:4 p:3 
MACRNCO3+NO --> ACETOL+NO2  1 r:4 p:3 
MACRNCO3+NO3 --> ACETOL+NO2  1 r:4 p:3 
MACRNCO3 --> ACETOL+NO2  1 r:4 p:3 
MACRNBCO3+HO2 --> HO2+NOA+OH  1 r:4 p:3 
MACRNBCO3+NO --> HO2+NOA+NO2  1 r:4 p:3 
MACRNBCO3+NO3 --> HO2+NOA+NO2  1 r:4 p:3 
MACRNBCO3 --> HO2+NOA  1 r:4 p:3 
CHOMOHCO3+HO2 --> HO2+MGLYOX+OH  1 r:4 p:3 
CHOMOHCO3+NO --> HO2+MGLYOX+NO2  1 r:4 p:3 
CHOMOHCO3+NO3 --> HO2+MGLYOX+NO2  1 r:4 p:3 
CHOMOHCO3 --> HO2+MGLYOX  1 r:4 p:3 
CO2H3CO3+HO2 --> HO2+MGLYOX+OH  1 r:4 p:3 
CO2H3CO3+NO --> HO2+MGLYOX+NO2  1 r:4 p:3 
CO2H3CO3+NO3 --> HO2+MGLYOX+NO2  1 r:4 p:3 
CO2H3CO3 --> HO2+MGLYOX  1 r:4 p:3 
CO23C3CHO --> CO+HO2+CH3CO3  1 r:4 p:3 
CO23C3CHO+NO3 --> HNO3+CO+CH3CO3  1 r:4 p:3 
CO23C3CHO+OH --> CO+CH3CO3  1 r:4 p:3 
ACO3+HO2 --> HCHO+CO+HO2+OH  1 r:3 p:2 
ACO3+NO --> HCHO+CO+HO2+NO2  1 r:3 p:2 
ACO3+NO3 --> HCHO+CO+HO2+NO2  1 r:3 p:2 
ACO3 --> HCHO+CO+HO2  1 r:3 p:2 
HMGLOOA --> HOCH2CHO  1 r:3 p:2 
HMGLOOA --> HO2+HOCH2CO3  1 r:3 p:2 
C5PACALD1 --> CH3CO3+GLYOX+OH  1 r:5 p:4 
HC4ACO3+HO2 --> ACETOL+CO+HO2+OH  1 r:5 p:4 
HC4ACO3+NO --> ACETOL+CO+HO2+NO2  1 r:5 p:4 
HC4ACO3+NO3 --> ACETOL+CO+HO2+NO2  1 r:5 p:4 
HC4ACO3 --> ACETOL+CO+HO2  1 r:5 p:4 
MACRNOOA --> ACETOL+HO2+NO2  1 r:4 p:3 
MACRNOOA --> PROPOLNO3  1 r:4 p:3 
C5PACALD2 --> CO+HO2+MGLYOX+OH  1 r:5 p:4 
HC4CCO3+HO2 --> HOCH2CHO+CH3CO3+OH  1 r:5 p:4 
