HEXBO2+NO --> HEXBNO3  6 r:6 p:0 
HO13C3CO3+NO3 --> HOC2H4CHO+HO2+NO2  1 r:4 p:3 
HO13C3CO3 --> HOC2H4CHO+HO2  1 r:4 p:3 
CO23C4CO3H --> BIACETO2+OH  1 r:5 p:4 
C6CO134OOH --> C5CO23O2+OH  1 r:6 p:5 
C4CO2DCO3H --> CO+HO2+C33CO+OH  1 r:5 p:4 
C4CO2DBPAN+OH --> CO+C33CO+NO2  1 r:5 p:4 
C5CO2DCO3H --> CH3CO3+C33CO+OH  1 r:6 p:5 
C5CO2DBPAN+OH --> CH3CHO+C33CO+NO2  1 r:6 p:5 
C23O3CCO2H+OH --> MCOCOMOXO2  1 r:5 p:4 
C23O3CCO3H --> MCOCOMOXO2+OH  1 r:5 p:4 
METACETHO+OH --> CH3CO3  1 r:3 p:2 
C31CO3H --> CO+CHOOCHO+HO2+OH  1 r:4 p:3 
CHOOCHO+OH --> CO+HO2  1 r:2 p:1 
C31PAN+OH --> CHOOCHO+CO+NO3  1 r:4 p:3 
HMVKNGLYOX+OH --> HOCH2CHO+CO+NO2  1 r:4 p:3 
HMVKNGLYOX --> HOCH2CHO+CO+HO2+NO2  1 r:4 p:3 
C721CO3+HO2 --> C721O2+OH  1 r:8 p:7 
C721CO3+NO --> C721O2+NO2  1 r:8 p:7 
C721CO3+NO3 --> C721O2+NO2  1 r:8 p:7 
C721CO3 --> C721O2  1 r:8 p:7 
HO2+H3C2C4CO3 --> HMVKAO2+OH  1 r:5 p:4 
H3C2C4CO3+NO --> HMVKAO2+NO2  1 r:5 p:4 
H3C2C4CO3+NO3 --> HMVKAO2+NO2  1 r:5 p:4 
H3C2C4CO3 --> HMVKAO2  1 r:5 p:4 
C515CHO --> HCOCH2CO3  3 r:6 p:3 
C87CO2H+OH --> C87O2  1 r:9 p:8 
C87CO2H --> HO2+C87O2  1 r:9 p:8 
C87CO3H --> C87O2+OH  1 r:9 p:8 
CHOC2CO3+HO2 --> CHOC2H4O2+OH  1 r:4 p:3 
CHOC2CO3+NO --> CHOC2H4O2+NO2  1 r:4 p:3 
CHOC2CO3+NO3 --> CHOC2H4O2+NO2  1 r:4 p:3 
CHOC2CO3 --> CHOC2H4O2  1 r:4 p:3 
C718CO2H+OH --> C718O2  1 r:8 p:7 
C718CO2H --> C718O2+HO2  1 r:8 p:7 
C718CO3H --> C718O2+OH  1 r:8 p:7 
C513OOH+OH --> C513CO+OH  -5 r:0 p:5 
C513OOH --> C513O+OH  -5 r:0 p:5 
C513CO+OH --> CO+HOC2H4CO3  1 r:5 p:4 
C513CO --> CO+HO2+HOC2H4CO3  1 r:5 p:4 
CO25C6CO2H+OH --> C627O2  1 r:7 p:6 
CO25C6CO2H --> HO2+C627O2  1 r:7 p:6 
CO25C6CO3H --> C627O2+OH  1 r:7 p:6 
C511CO3H --> C511O2+OH  1 r:6 p:5 
C517CO2H+OH --> C517O2  1 r:6 p:5 
C517CO3H --> C517O2+OH  1 r:6 p:5 
C518CO3+HO2 --> ISOPDO2+OH  1 r:6 p:5 
C518CO3+NO --> NO2+ISOPDO2  1 r:6 p:5 
C518CO3+NO3 --> NO2+ISOPDO2  1 r:6 p:5 
C518CO3 --> ISOPDO2  1 r:6 p:5 
C732CO3+HO2 --> C732O2+OH  1 r:8 p:7 
C732CO3+NO --> C732O2+NO2  1 r:8 p:7 
C732CO3+NO3 --> C732O2+NO2  1 r:8 p:7 
C732CO3 --> C732O2  1 r:8 p:7 
HO13C3CO3H --> HOC2H4CHO+HO2+OH  1 r:4 p:3 
C5CO23CHO+OH --> C2H5CO3+CO  1 r:5 p:4 
C5CO23CHO --> C2H5CO3+CO+HO2  1 r:5 p:4 
C5CO23CHO --> CO+C2H5O2+HO2  2 r:5 p:3 
C23O3CHO+NO3 --> HNO3+CO+CH3CO3  1 r:4 p:3 
C23O3CHO+OH --> CO+CH3CO3  1 r:4 p:3 
C23O3CHO --> CO+HO2+CH3CO3  1 r:4 p:3 
C312COCO3+HO2 --> CHOCOCH2O2+OH  1 r:4 p:3 
C312COCO3+NO --> CHOCOCH2O2+NO2  1 r:4 p:3 
C312COCO3+NO3 --> CHOCOCH2O2+NO2  1 r:4 p:3 
C312COCO3 --> CHOCOCH2O2  1 r:4 p:3 
C721CO3H --> C721O2+OH  1 r:8 p:7 
NORPINIC+OH --> C721O2  1 r:8 p:7 
H3C2C4CO2H+OH --> HMVKAO2  1 r:5 p:4 
H3C2C4CO2H --> HMVKAO2+HO2  1 r:5 p:4 
H3C2C4CO3H --> HMVKAO2+OH  1 r:5 p:4 
C515CO3+HO2 --> C515O2+OH  1 r:6 p:5 
C515CO3+NO --> NO2+C515O2  1 r:6 p:5 
C515CO3+NO3 --> NO2+C515O2  1 r:6 p:5 
C515CO3 --> C515O2  1 r:6 p:5 
CHOC2CO2H+OH --> CHOC2H4O2  1 r:4 p:3 
CHOC2CO3H --> CHOC2H4O2+OH  1 r:4 p:3 
HMVKBCO3+HO2 --> HMVKBO2+OH  1 r:5 p:4 
HMVKBCO3+NO --> HMVKBO2+NO2  1 r:5 p:4 
HMVKBCO3+NO3 --> HMVKBO2+NO2  1 r:5 p:4 
HMVKBCO3 --> HMVKBO2  1 r:5 p:4 
C518CO2H+OH --> ISOPDO2  1 r:6 p:5 
C518CO3H --> ISOPDO2+OH  1 r:6 p:5 
C624CO3+HO2 --> C624O2+OH  1 r:7 p:6 
C624CO3+NO --> C624O2+NO2  1 r:7 p:6 
C624CO3+NO3 --> C624O2+NO2  1 r:7 p:6 
C624CO3 --> C624O2  1 r:7 p:6 
C825O --> HO2+C622CHO  1 r:8 p:7 
C825CO+OH --> C622CO3  1 r:8 p:7 
C825CO --> C622CO3+HO2  1 r:8 p:7 
C732CO3H --> C732O2+OH  1 r:8 p:7 
KLIMONIC+OH --> C732O2  1 r:8 p:7 
C312COCO3H --> CHOCOCH2O2+OH  1 r:4 p:3 
C515CO3H --> C515O2+OH  1 r:6 p:5 
C615CO3+HO2 --> C615O2+OH  1 r:7 p:6 
C615CO3+NO --> C615O2+NO2  1 r:7 p:6 
C615CO3+NO3 --> C615O2+NO2  1 r:7 p:6 
C615CO3 --> C615O2  1 r:7 p:6 
HO2+C617CO3 --> C617O2+OH  1 r:7 p:6 
C617CO3+NO --> C617O2+NO2  1 r:7 p:6 
C617CO3+NO3 --> C617O2+NO2  1 r:7 p:6 
C617CO3 --> C617O2  1 r:7 p:6 
C618CO3+HO2 --> C618O2+OH  1 r:7 p:6 
C618CO3+NO --> C618O2+NO2  1 r:7 p:6 
C618CO3+NO3 --> C618O2+NO2  1 r:7 p:6 
C618CO3 --> C618O2  1 r:7 p:6 
HMVKBCO2H+OH --> HMVKBO2  1 r:5 p:4 
HMVKBCO3H --> HMVKBO2+OH  1 r:5 p:4 
C624CO2H+OH --> C624O2  1 r:7 p:6 
C624CO3H --> C624O2+OH  1 r:7 p:6 
NC61CO3+HO2 --> CO235C5CHO+NO2+OH  1 r:7 p:6 
NC61CO3+NO --> CO235C5CHO+NO2  1 r:7 p:6 
NC61CO3+NO3 --> CO235C5CHO+NO2  1 r:7 p:6 
NC61CO3 --> CO235C5CHO+NO2  1 r:7 p:6 
C515CO+OH --> HCOCH2CO3+CO  1 r:5 p:4 
C515CO --> CO+HCOCH2CO3+HO2  1 r:5 p:4 
C615CO2H+OH --> C615O2  1 r:7 p:6 
C615CO2H --> C615O2+HO2  1 r:7 p:6 
C615CO3H --> C615O2+OH  1 r:7 p:6 
C617CO2H+OH --> C617O2  1 r:7 p:6 
C617CO2H --> HO2+C617O2  1 r:7 p:6 
C617CO3H --> C617O2+OH  1 r:7 p:6 
C618CO2H+OH --> C618O2  1 r:7 p:6 
C618CO2H --> HO2+C618O2  1 r:7 p:6 
C618CO3H --> C618O2+OH  1 r:7 p:6 
C519CO3+HO2 --> C519O2+OH  1 r:6 p:5 
C519CO3+NO --> C519O2+NO2  1 r:6 p:5 
C519CO3+NO3 --> C519O2+NO2  1 r:6 p:5 
C519CO3 --> C519O2  1 r:6 p:5 
NC61CO3H --> CO235C5CHO+NO2+OH  1 r:7 p:6 
H1C23C4CO3+HO2 --> H1C23C4O2+OH  1 r:5 p:4 
H1C23C4CO3+NO --> H1C23C4O2+NO2  1 r:5 p:4 
H1C23C4CO3+NO3 --> H1C23C4O2+NO2  1 r:5 p:4 
H1C23C4CO3 --> H1C23C4O2  1 r:5 p:4 
CO1M22CO3+HO2 --> IBUTALCO2+OH  1 r:5 p:4 
CO1M22CO3+NO --> IBUTALCO2+NO2  1 r:5 p:4 
CO1M22CO3+NO3 --> IBUTALCO2+NO2  1 r:5 p:4 
CO1M22CO3 --> IBUTALCO2  1 r:5 p:4 
HO2+C67CO3 --> C55O2+OH  1 r:6 p:5 
C67CO3+NO --> C55O2+NO2  1 r:6 p:5 
C67CO3+NO3 --> C55O2+NO2  1 r:6 p:5 
C67CO3 --> C55O2  1 r:6 p:5 
C519CO2H+OH --> C519O2  1 r:6 p:5 
C519CO3H --> C519O2+OH  1 r:6 p:5 
C734O --> C517CHO+HO2  1 r:7 p:6 
C734CO+OH --> C517CO3  1 r:7 p:6 
C734CO --> HO2+C517CO3  1 r:7 p:6 
C44O --> HCOCH2CHO+HO2  1 r:4 p:3 
HC23C4CO3H --> H1C23C4O2+OH  1 r:5 p:4 
CO1M22CO2H+OH --> IBUTALCO2  1 r:5 p:4 
CO1M22CO2H --> IBUTALCO2+HO2  1 r:5 p:4 
CO1M22CO3H --> IBUTALCO2+OH  1 r:5 p:4 
CO1M22PAN+OH --> CH3COCH3+CO+NO2  1 r:5 p:4 
C67CO3H --> C55O2+OH  1 r:6 p:5 
C6PAN9+OH --> CO+MIBKHO4CHO+NO2  -1 r:6 p:7 
MIBKHO4CHO+NO3 --> HNO3+CO+TBUTOLO2  1 r:6 p:5 
MIBKHO4CHO+OH --> CO+TBUTOLO2  1 r:6 p:5 
ISOPEMISS --> C5H8  -5 r:0 p:5 
APINEMISS --> APINENE  -10 r:0 p:10 
BPINEMISS --> BPINENE  -10 r:0 p:10 
MVKEMISS --> MVK  -4 r:0 p:4 
MACREMISS --> MACR  -4 r:0 p:4 
CO+OH --> HO2  1 r:1 p:0 
