,0,1,pr  0,dg  0,cl  0,bt  0,ev  0,pr  1,dg  1,cl  1,bt  1
C719OH,0.23057099009644333,0.20184250408014337,6.722810500006539e-05,0.0002824858757062147,0.00299228432401491,0.0,2.6429166669927403e-16,6.684693405271742e-05,0.000282326369282891,0.002559656112112905,0.0
C721O,0.0,0.0,0.0002582994020407324,0.0005649717514124294,0.0031456109191688618,4.493912066193808e-05,7.5097458712770995e-06,0.00027623794247385214,0.000564652738565782,0.0030786990549149258,4.4888377832891176e-05
C735OOA,0.0,0.0,0.0001104007318179981,0.0005649717514124294,0.0033416822398217266,4.134718384171212e-05,1.103466596234376e-07,0.0001090394463064329,0.000564652738565782,0.00303096670134526,4.066265132286767e-05
C812OH,0.2300162355994861,0.21376760228642616,9.843674971317146e-05,0.0005649717514124294,0.00037799024884749754,0.0,4.139000889666768e-10,9.560503852709943e-05,0.000564652738565782,0.0003611393798221979,0.0
C85O,0.0,0.0,0.0006568548756172825,0.0008474576271186442,0.003309026957712163,6.688984567443004e-05,2.849270125683995e-05,0.0006610476969597407,0.000846979107848673,0.0029841580674336,8.31591084897078e-05
C91O,0.0,0.0,0.0002073293730105437,0.0005649717514124294,0.007704023459003213,3.448259347416918e-05,7.9559308955496e-09,0.00020319068735670244,0.000564652738565782,0.006845862675567306,3.444365759113497e-05
C920O,0.0,0.0,0.00033939026791192123,0.0005649717514124294,0.0,0.0,4.1903676746718467e-07,0.0003329015487523344,0.000564652738565782,0.0,0.0
C921O,0.0,0.0,0.00017676183385278462,0.0008474576271186442,0.0034829896953464173,7.183873640451913e-06,7.827363789203943e-14,0.00017591369934963466,0.000846979107848673,0.0030516022296187754,7.1757619981531185e-06
CH3O2NO2,0.4938169515345657,0.5681736053463602,0.003406721676367725,0.0005649717514124294,0.0012107512006256688,0.0,0.006737499970232027,0.0031763717806476124,0.000564652738565782,0.0011499508159552119,0.0
CO14O3CO2H,0.41826406149783113,0.36155737298118046,0.00011893005659708955,0.0002824858757062147,0.0,0.0,1.6608381687622235e-08,0.00012144691739548175,0.000282326369282891,0.0,0.0
CO2C3CO2H,0.46027741367830743,0.4829253114033537,0.00012133127542844822,0.0005649717514124294,0.0022200876213861426,2.3946245468173044e-06,7.168453159412561e-13,0.00012559627790431318,0.000564652738565782,0.0018981935986535432,2.3919206660510394e-06
CO3C75O,0.0,0.0,0.00021471717076859383,0.0008474576271186442,0.00501596341010398,1.8997354738083947e-05,3.662263466757152e-08,0.00021347265819377333,0.000846979107848673,0.003957192576780836,1.4431254685174605e-05
CO3C85O,0.0,0.0,0.0003452583286305538,0.0005649717514124294,0.0,0.0,1.1850162404318099e-11,0.00034147931422762266,0.000564652738565782,0.0,0.0
CRESOH,0.36744563291805915,0.23445405911122813,9.30883408836391e-05,0.0002824858757062147,0.0,0.0,4.284362107228657e-13,9.337445841205745e-05,0.000282326369282891,0.0,0.0
DMMALYOH,0.03418781463196776,0.13421843240658693,0.0001352580206305703,0.0002824858757062147,0.0,0.0,1.6692798622614382e-09,0.0001383326402266756,0.000282326369282891,0.0,0.0
EBENZOLOH,0.3192745695047828,0.18554316368086984,0.00011595155199723475,0.0005649717514124294,0.003439518870114593,0.0,1.2944412560695946e-10,0.00011028636833570033,0.000564652738565782,0.003279214776407751,0.0
EMALANHY,0.42597650320046715,0.6019920264618579,0.00032157595156511603,0.0005649717514124294,0.0027177526500138083,4.797231175457333e-05,1.6803059608845705e-08,0.00032036235696843477,0.000564652738565782,0.002409288312040709,4.496810852175954e-05
EMALNHY2OH,0.0,0.1321558686128241,0.0001803609622227925,0.0005649717514124294,0.002788701923441612,0.0,3.6838679073646104e-08,0.00018007304035190326,0.000564652738565782,0.00243546204659359,0.0
EOCOCH2O,0.0,0.0,0.00011903030717630063,0.0005649717514124294,0.0,0.0,3.1549187855357227e-08,0.00012010620325827124,0.000564652738565782,0.0,0.0
EOX2COMEOH,0.1900178057167761,0.24350048757250844,8.679573265585414e-05,0.0005649717514124294,0.002366162686133697,2.3946245468173044e-06,1.1800914102062739e-08,8.830275170690181e-05,0.000564652738565782,0.0019510485680947099,8.770375775520478e-07
ETHACET,0.6678434403466678,0.6673463420746079,6.722810500006539e-05,0.0008474576271186442,0.0071628989302592785,0.0,2.6429166669927403e-16,6.684693405271742e-05,0.000846979107848673,0.006362361027028481,0.0
IBUTOLOHC,0.09845390683972435,0.1878025981820817,0.00010581308430646522,0.0005649717514124294,0.003369740456558441,0.0,2.1672372030520293e-07,0.00010886588406237457,0.000564652738565782,0.002786670911814911,0.0
IEB1CHO,0.3174357321273581,0.40340130662383117,0.0001025325619631599,0.0005649717514124294,0.0023433689831379475,5.4038693939843834e-05,1.7772383583687062e-06,9.984413113660646e-05,0.000564652738565782,0.0020856462644251437,5.262225465312287e-05
IEB4CHO,0.3174357321273581,0.40340130662383117,0.00010063393795229175,0.0005649717514124294,0.0022028227215918194,0.0,1.6816609806098515e-06,9.496688532397517e-05,0.000564652738565782,0.0020051074345817416,0.0
INANCOCHO,0.16710866845381214,0.3607125505411438,8.259097317237291e-05,0.0005649717514124294,0.0024463962890896324,6.385665458179478e-07,5.081237478685112e-15,8.10567627864136e-05,0.000564652738565782,0.0021835753243593763,6.378455109469438e-07
ISOPBOH,0.3393508191066521,0.3185542868643029,8.233801402653834e-05,0.0005649717514124294,0.006744669607070207,0.0,1.4545962729002967e-08,8.740780798526139e-05,0.000564652738565782,0.00558896011328713,0.0
LIMALOOA,0.0,0.0,0.00010988387955014789,0.0005649717514124294,0.0032529321273952454,1.859825064694773e-05,7.0796366604585585e-09,0.00010187591100956192,0.000564652738565782,0.0027516011465970112,1.1401488508176622e-05
MAE,0.526217467167965,0.6008633630944747,8.83570298057621e-05,0.0005649717514124294,0.002148625510556658,9.259214914360243e-06,1.062765995462472e-05,8.736723220636059e-05,0.000564652738565782,0.0018187639809652343,1.379340917422766e-05
MALANHYO,0.0,0.0,0.00026520399301294427,0.0008474576271186442,0.001360029563231676,1.9556100465674653e-05,6.584501222137533e-07,0.00026054654540050016,0.000846979107848673,0.0011334772108093864,1.9534018772750156e-05
MC6OTKETOH,0.11238806138416366,0.1721577883022747,0.0002242873406661446,0.0005649717514124294,0.0017695707522817057,0.0,2.5440602970853926e-08,0.00021706828999275426,0.000564652738565782,0.0015861010103755846,0.0
METLBPR2OH,0.2683118241374409,0.227974433967563,9.791517099772451e-05,0.0002824858757062147,0.0,0.0,1.029896314295978e-13,0.00010210543747857294,0.000282326369282891,0.0,0.0
METLQO,0.0,0.0,0.00016254473255925288,0.0008474576271186442,0.004225401402876382,3.512116001998713e-06,6.143255027730862e-14,0.00015748010861462404,0.000846979107848673,0.003647561158307883,7.016300620416382e-06
METLQOH,0.06680714303930228,0.06808104344775062,8.319838841887252e-05,0.0005649717514124294,0.00433392104678026,3.512116001998713e-06,4.1293411826553294e-15,8.719698759054757e-05,0.000564652738565782,0.0035547041833161965,0.0
METOLOH,0.2460323440795361,0.1862684542880136,0.00010462514625792323,0.0005649717514124294,0.0045635098361657455,0.0,1.7136277186584533e-10,0.00010631799640718179,0.000564652738565782,0.0036326998382453972,0.0
MMALNHY2OH,0.1548637227665862,0.24423387271354524,0.00021984177711392266,0.0005649717514124294,0.0017100500206423657,0.0,9.092512804639693e-07,0.00022814658407592942,0.000564652738565782,0.0015704161074016417,0.0
MXYFUOH,0.22238615514004798,0.23979794405185792,0.000105264071061466,0.0005649717514124294,0.0023468029226005444,0.0,7.563643872726105e-14,9.826695241399664e-05,0.000564652738565782,0.0021856540376435796,0.0
MXYOLOH,0.29483816342952673,0.23543434832034968,6.722810500006539e-05,0.0002824858757062147,0.0029807218582068914,0.0,2.6429166669927403e-16,6.684693405271742e-05,0.000282326369282891,0.002684062919334689,0.0
MXYQO,0.0,0.0,0.00022892345604892374,0.0008474576271186442,0.002273595295528321,1.2771330916358957e-06,2.0385286165637222e-08,0.00023426998412487448,0.000846979107848673,0.002050663417366182,1.2756910218938877e-06
MXYQOH,0.11740089975463952,0.11764421883567634,0.00011700574296947839,0.0005649717514124294,0.002534022158640661,5.667278094134287e-06,9.287317729781072e-09,0.0001188726342443922,0.000564652738565782,0.0021339781859096175,5.660878909654127e-06
NC101O,0.0,0.0,0.00027755677996114887,0.0008474576271186442,0.0028955414575552625,1.6842192645948373e-05,5.616020821229727e-08,0.00027438403909347696,0.000846979107848673,0.0026546032827881798,1.6823175351225644e-05
NC4DCO2,0.0,0.0,0.0002759861072363186,0.0005649717514124294,0.001469742134067184,1.237222682522274e-05,5.755460881077165e-08,0.0002768084288120963,0.000564652738565782,0.0012130020682169886,1.2358256774597037e-05
NC4MDCO2,0.0,0.0,6.722810500006539e-05,0.0002824858757062147,0.0016154065293220077,0.0,2.6429166669927403e-16,6.684693405271742e-05,0.000282326369282891,0.0014428807079307836,0.0
NC4PDCO2,0.0,0.0,0.0003454527411281924,0.0005649717514124294,0.0008429028133747679,5.986561367043261e-06,2.0081768233244855e-08,0.00035189556387608446,0.000564652738565782,0.0008373301071731502,5.979801665127598e-06
NC72O,0.0,0.0,0.0002433787005243494,0.0005649717514124294,0.0013066549011991793,5.347994821225313e-06,2.496739943584502e-07,0.000252477877182448,0.000564652738565782,0.0014560636336353172,5.341956154180655e-06
OETLBPR2OH,0.1853209175324831,0.14785724529917013,0.0001052487107036831,0.0005649717514124294,0.013836142752975521,0.0,3.645648073686888e-10,9.881904851969139e-05,0.000564652738565782,0.014272535717527304,0.0
OETLQO,0.0,0.0,9.547420874355903e-05,0.0005649717514124294,0.003691420791247923,7.183873640451913e-06,7.696347673115577e-14,9.989371460768486e-05,0.000564652738565782,0.0036531449146603107,7.1757619981531185e-06
OETOLOH,0.2260127434927338,0.11908116561685227,0.0001158719286372229,0.0005649717514124294,0.0034205619429687516,0.0,2.5864294972336077e-09,0.00011432386848758118,0.000564652738565782,0.0032678561659319205,0.0
OXYBPER2OH,0.25442916342136557,0.21665402374612378,8.026908743101366e-05,0.0002824858757062147,0.0,0.0,5.1794307134062475e-15,8.198403213580441e-05,0.000282326369282891,0.0,0.0
OXYFUOH,0.15895858642084773,0.22168464697586523,6.722810500006539e-05,0.0002824858757062147,0.002288859694466394,0.0,2.6429166669927403e-16,6.684693405271742e-05,0.000282326369282891,0.0022693173983315785,0.0
OXYOLOH,0.29539127216179695,0.1876873380943697,0.00011681469880747002,0.0005649717514124294,0.0027834815678600723,0.0,7.900051708386344e-10,0.00011601211406180013,0.000564652738565782,0.00255107904923658,0.0
OXYQO,0.0,0.0,8.351393498052552e-05,0.0005649717514124294,0.0023471608189031545,0.0,6.282321358287077e-15,8.33591509769754e-05,0.000564652738565782,0.0020495592840280175,0.0
PACLOOA,0.0,0.0,7.933132534036213e-05,0.0002824858757062147,0.0,0.0,2.845440163488723e-06,7.894504482270188e-05,0.000282326369282891,0.0,0.0
PBENZOLOH,0.25661954752783206,0.12318204999009702,0.00010889215136972813,0.0005649717514124294,0.006105926285545315,0.0,4.509689074024442e-09,0.00010479725556632188,0.000564652738565782,0.005402547551966128,0.0
PBZQO,0.0,0.0,0.00016083530153579868,0.0008474576271186442,0.0014790979942734589,0.0,8.192896941263871e-09,0.00014060307877981443,0.000846979107848673,0.0013419392780459657,1.1162296441571517e-06
PEBQO,0.0,0.0,0.00015440356843462143,0.0005649717514124294,0.0,0.0,8.209854575935796e-09,0.00015716546660937805,0.000564652738565782,0.0,0.0
PETLBPR2OH,0.20909636348420751,0.17116650284995305,8.944928882864446e-05,0.0005649717514124294,0.00671268769658196,0.0,3.9718980044174763e-10,8.823092025437193e-05,0.000564652738565782,0.005725317166637748,0.0
PETLQO,0.0,0.0,0.00016573417291669567,0.0008474576271186442,0.003189656496220969,1.0616168824223383e-05,8.121782019754651e-09,0.00016289572947651972,0.000846979107848673,0.002690499381472845,1.0604181619492942e-05
PETLQOH,0.04738452163305659,0.042863600919603013,0.00013670327074572538,0.0005649717514124294,0.0031064501623877597,0.0,7.935703632284119e-09,0.00013386352594047259,0.000564652738565782,0.0026709428634448303,0.0
PETOLOH,0.23405602196894368,0.1299925329056242,0.00010122196724228817,0.0005649717514124294,0.004433657135346375,0.0,2.269289235612754e-09,9.680275897280984e-05,0.000564652738565782,0.0040011193396617415,0.0
PGAOOB,0.0,0.0,7.909919942899358e-05,0.0002824858757062147,0.0,0.0,1.4346146288027006e-08,7.977967457535995e-05,0.000282326369282891,0.0,0.0
PHENOH,0.16347162060960876,0.1716214091396101,0.00011008907507161053,0.0005649717514124294,0.002068990912112348,0.0,2.0588750682101983e-09,0.00010959808676877205,0.000564652738565782,0.0018395882730577223,0.0
PMALANHY,0.3634034083862945,0.5393641070124761,0.0003613538761780821,0.0005649717514124294,0.00093092369231982,5.108532366543583e-06,2.0032007790945333e-08,0.0003665615066528633,0.000564652738565782,0.0008081612890178738,5.102764087575551e-06
PMALNHY2OH,0.0,0.06950773388330302,0.00020344902851876463,0.0005649717514124294,0.0003983179543347103,0.0,5.811220717563898e-08,0.00019514258572565248,0.000564652738565782,0.0004399378829370741,0.0
PPACLOOA,0.0,0.0,8.634598791917252e-05,0.0005649717514124294,0.002037685530455111,1.053634800599614e-05,1.305653756658263e-06,8.307128883929491e-05,0.000564652738565782,0.0015323154751137817,1.0604181619492942e-05
PPGAOOB,0.0,0.0,8.358556604512286e-05,0.0002824858757062147,0.0,0.0,1.8785444914992525e-06,8.642376164428781e-05,0.000282326369282891,0.0,0.0
PPRBQO,0.0,0.0,0.0001501591477569694,0.0005649717514124294,0.0,0.0,2.7456675609665445e-08,0.00014892254672679286,0.000564652738565782,0.0,0.0
PTLQO,0.0,0.0,0.00012873469545936645,0.0008474576271186442,0.0007809119942086355,2.3946245468173045e-07,3.792685807668131e-13,0.00012790179216788493,0.000846979107848673,0.0007712320744451694,2.391920666051039e-07
PXYBPER2OH,0.25466485343395934,0.21641860174776764,0.00010037508203526599,0.0005649717514124294,0.008171161392132758,0.0,1.077519059473856e-13,9.666119230986575e-05,0.000564652738565782,0.00700348411646898,0.0
PXYFUOH,0.22986881865172348,0.2559275193754618,0.00012153266255553229,0.0002824858757062147,0.0,0.0,7.976009840097167e-07,0.00011952869711630865,0.000282326369282891,0.0,0.0
PXYOLOH,0.279910369207163,0.17508284486955566,0.00011023897250200351,0.0005649717514124294,0.003971336551214988,0.0,1.553713001122503e-11,9.878644721694733e-05,0.000564652738565782,0.0034541687549383892,0.0
PXYQO,0.0,0.0,0.00021281288572429333,0.0005649717514124294,0.0025513554735060217,7.742619368042617e-06,3.8058942021781455e-11,0.00022206063155095986,0.000846979107848673,0.002018958609060429,0.0
PXYQOH,0.09284197480202198,0.08901823506049222,0.0,0.0,0.0,0.0,0.0,9.248940302229112e-05,0.000564652738565782,0.002262448043917329,9.248759908730686e-06
TLFUOH,0.260483092904192,0.27683055618259966,0.00010370325070881598,0.0005649717514124294,0.0004168280161604365,0.0,3.998331109594114e-08,0.00010221197091053106,0.000564652738565782,0.00043532517366388023,0.0
TM123OLOH,0.19474416455942026,0.07830506057408111,0.0001086764529339502,0.0005649717514124294,0.0025413412947545046,0.0,9.555026742338492e-14,0.00011590370601441627,0.000564652738565782,0.0021178487702870463,0.0
TM124BP2OH,0.24324938978413388,0.20169436074635494,0.00010540892989993424,0.0005649717514124294,0.013183395125483369,0.0,3.236004954799458e-09,0.00010059192184376904,0.000564652738565782,0.010777897884685611,0.0
TM124OLOH,0.22996009700752876,0.15576298977581426,0.0001163493498427279,0.0005649717514124294,0.0029340960627474585,0.0,2.144322660604578e-09,0.0001161819056030249,0.000564652738565782,0.002688063088004084,0.0
TM124QO,0.0,0.0,0.00016692401956676264,0.0005649717514124294,0.0,0.0,1.2811006955029769e-08,0.0001735439179337854,0.000564652738565782,0.0,0.0
TM124QOH,0.05771660190171512,0.053018085451822725,0.00012832841501583545,0.0005649717514124294,0.002760203456987912,9.89778146017819e-06,1.0744177146052363e-08,0.0001235206587310754,0.000564652738565782,0.002439042019964542,1.0205528175151102e-05
TM135OLOH,0.15934105298718249,0.17270900024556363,0.0001488175046018214,0.0005649717514124294,0.002306215800835069,0.0,1.4807039340362645e-10,0.0001464981711014184,0.000564652738565782,0.001966482003985681,0.0
TMB1FUOH,0.17617014476776613,0.23078462776608943,0.00010885728681402826,0.0005649717514124294,0.0019734225306051157,0.0,2.770735414079453e-08,0.00010825247332318309,0.000564652738565782,0.001635480009345624,0.0
TMB2FUOH,0.11077496134148658,0.16057926730169467,6.722810500006539e-05,0.0002824858757062147,0.0015273074827409031,0.0,2.6429166669927403e-16,6.684693405271742e-05,0.000282326369282891,0.001352290092999561,0.0
C2H2,0.7380382511902013,0.7380081188992412,6.722810500006539e-05,0.0005649717514124294,0.0012719915723629679,0.0,2.6429166669927403e-16,6.684693405271742e-05,0.000564652738565782,0.0011087342851382235,0.0
C626O,0.0,0.0,0.0004394053408033505,0.0008474576271186442,0.0,0.0,4.426036065737561e-05,0.00040996873737803843,0.000846979107848673,0.0,0.0
C729O,0.0,0.0,0.0003203268406017048,0.0011299435028248588,0.011533695301546304,0.0003879291765844033,3.356506091412457e-06,0.0003205491492160418,0.001129305477131564,0.010363096626478408,7.909284335742104e-05
C731O,0.0,0.0,0.000148772014028848,0.0011299435028248588,0.0036335629680870228,5.986561367043261e-06,1.452017793766664e-13,0.00014393390093304025,0.001129305477131564,0.003363161679393924,8.610914397783742e-06
C732O,0.0,0.0,0.0003700666856348616,0.0008474576271186442,0.0,0.0,6.458728718877935e-06,0.00038139646880776116,0.000846979107848673,0.0,0.0
C811O,0.0,0.0,0.0002189566914555343,0.0005649717514124294,0.0,0.0,5.574023000018574e-06,0.00021965801055106403,0.000564652738565782,0.0,0.0
C812O,0.0,0.0,0.00022276084837071582,0.0008474576271186442,0.0,0.0,1.3164791220309842e-09,0.00022205863318157018,0.000846979107848673,0.0,0.0
C817O,0.0,0.02236471744752765,0.00044422933201415134,0.0011299435028248588,0.0035283577414424523,0.00010496437596882517,8.902951236616769e-06,0.0004346576254427512,0.001129305477131564,0.0033377330496030437,0.00010604181619492942
C822O,0.0,0.0,0.0001491539274504554,0.0011299435028248588,0.004224448320331426,1.5245776281403505e-05,1.149790363922362e-13,0.00014102692738228467,0.001129305477131564,0.003944945909745359,1.530829226272665e-05
C823O,0.0,0.0,0.0001447494521785317,0.0008474576271186442,0.012044739501669281,0.0,2.9892052955749776e-08,0.00014016187343608732,0.000846979107848673,0.010668238502825096,2.3520553216168556e-05
C923O,0.0,0.0,0.00025278636066964336,0.0011299435028248588,0.013163180466991966,0.00041315255514421225,6.576930913421461e-07,0.00023368991862423737,0.001129305477131564,0.012362271761040208,0.00043469171571034224
CO2C54O,0.0,0.011152719866153194,0.00013468918274496674,0.0011299435028248588,0.004379526549306218,4.6296074571801215e-06,3.6318849578205523e-13,0.00013350753458655189,0.001129305477131564,0.0034101260226287486,4.624379954365343e-06
DDECO,0.0,0.020319438310076425,0.0001367292490159178,0.0008474576271186442,0.01039262263315119,6.944411185770183e-06,3.1046363568081e-13,0.00013690230271507436,0.000846979107848673,0.009287763806738085,6.936569931548014e-06
DECO,0.0,0.0,0.0001186742721853868,0.0008474576271186442,0.009458690085385652,5.0287115483163395e-06,7.5682723700185e-14,0.00011914885572577934,0.000846979107848673,0.008228824882776237,4.943302709838815e-06
DIEKBO,0.0,0.0,0.00035274095056374066,0.0005649717514124294,0.0,0.0,3.368067975582949e-05,0.00036653329124581706,0.000564652738565782,0.0,0.0
DMMALYO,0.0,0.0,0.00013745564403780828,0.0002824858757062147,0.0,0.0,1.7232039026446106e-09,0.0001323991199093079,0.000282326369282891,0.0,0.0
EMALANHYO,0.0,0.0,0.00042360539533999736,0.0011299435028248588,0.003221331788513291,5.6592960123115625e-05,1.0146596521277511e-07,0.00042198443750992914,0.001129305477131564,0.0027460983963065585,5.357902291954328e-05
HEPTO,0.0,0.0,0.00020950203306674078,0.0011299435028248588,0.01170694815123424,5.954633039752364e-05,2.385451931843946e-11,0.0002020666978761795,0.001129305477131564,0.009780450213794641,6.32264362726158e-05
HEX2ONAO,0.0,0.02754836022958229,0.00020407335743765105,0.0011299435028248588,0.0032046050762059453,1.420810564444934e-05,6.265102040855326e-08,0.00020141576692867024,0.001129305477131564,0.0025868725242161874,1.3474486418754188e-05
HEX3ONAO,0.0,0.0,0.00012621120078717683,0.0008474576271186442,0.005651227511336879,8.141723459178836e-06,3.038109114775765e-10,0.0001274019838007672,0.000846979107848673,0.005105541286200979,1.2437987463465405e-05
HEX3ONDO,0.0,0.0,0.0001709466269057116,0.0011299435028248588,0.0043038581628565865,1.65229093730394e-05,8.349104808093121e-11,0.00017557504946919022,0.001129305477131564,0.0037927439814108847,1.6504252595752173e-05
HEXAO,0.0,0.03632548296442742,0.0003917592619240139,0.0008474576271186442,0.00875220600260652,0.0004181812666925286,1.156843097818095e-05,0.0003802914444852445,0.000846979107848673,0.007717235305637289,0.0004199415382696942
HEXBO,0.0,0.0,0.00013190094570608493,0.0008474576271186442,0.00727410217197947,3.512116001998713e-06,8.127965438724687e-13,0.0001337464323696038,0.000846979107848673,0.006109917515984321,1.5946137773673597e-06
HO3C5O,0.0,0.018692773707829895,0.0002703822842566548,0.0011299435028248588,0.0057861251445693465,0.00017408920455361804,1.4793695043943354e-05,0.00027454989714106686,0.001129305477131564,0.004744928101553104,0.00017173990382246464
ISOPAO,0.0,0.0,0.0001338572158888948,0.0011299435028248588,0.00407401953514348,1.420810564444934e-05,1.4107256681932937e-08,0.00013155089795989025,0.001129305477131564,0.003070637794985226,1.41920626185695e-05
MMALANHYO,0.0,0.0,0.000542637482437195,0.0011299435028248588,0.0019446268991972755,3.5440443292896104e-05,2.4639742322791174e-06,0.0005334590253572899,0.001129305477131564,0.0017129931762662612,3.508150310208191e-05
NONO,0.0,0.0,0.00017135591539593992,0.0011299435028248588,0.01212579417646117,7.614906058879028e-05,4.8343504851712054e-11,0.0001628349734191142,0.001129305477131564,0.011648927382332,7.422927133645059e-05
OCTO,0.0,0.0,0.0001722989037296336,0.0011299435028248588,0.005183927247242973,2.3307678922355095e-05,6.051866505841894e-13,0.0001744217971366063,0.001129305477131564,0.004706581556631265,2.328136114956345e-05
PEAO,0.0,0.017020258198911863,0.0004236187073488639,0.0011299435028248588,0.005202623369372572,0.00017911791610193437,3.806840020844276e-05,0.00040480800343847606,0.001129305477131564,0.00494930006124703,0.00019478207290542297
PMALANHYO,0.0,0.0,0.00045199859215783514,0.0008474576271186442,0.0,0.0,1.479067208949301e-07,0.0004533218203440858,0.000846979107848673,0.0,0.0
UDECO,0.0,0.005587103129847402,0.00016521668618484417,0.0011299435028248588,0.011469637588109559,8.109795131887937e-05,7.141647779178084e-13,0.00016293832968509385,0.001129305477131564,0.010650177591395936,8.100637989026187e-05
C106OH,0.19239134386000253,0.14492779437459657,0.00016471297533272872,0.0005649717514124294,0.006756188164992474,0.0,1.6264783427530886e-07,0.00016385027278150154,0.000564652738565782,0.0057479611219805405,0.0
C107O,0.0,0.0,0.0002457747796044845,0.0011299435028248588,0.004434185491213547,2.0035025375038114e-05,2.1353404082467038e-08,0.0002452668169969154,0.001129305477131564,0.004341737292013136,2.128809392785425e-05
C107OH,0.3880227931158734,0.19555234819728926,6.722810500006539e-05,0.0002824858757062147,0.003977980000734373,0.0,2.6429166669927403e-16,6.684693405271742e-05,0.000282326369282891,0.0038032318986297785,0.0
C108OH,0.2875485968272006,0.0757226589929918,0.00014155833031016807,0.0005649717514124294,0.004490321854233213,0.0,1.3028594190878793e-07,0.00014758699500395033,0.000564652738565782,0.004240145198970108,0.0
