,source,target,flux
1950,C2H5O2,C2H5O,[10.54761132 12.99848927]
1951,HEXBO2,HEXBOOH,[9.25539756 9.20931091]
1952,HEXCO2,HEXCNO3,[8.3206339 8.30787144]
1953,HIEB1OOH,HIEB1O,[ -inf 14.79055252]
1954,HIEB1O2,HIEB1O,[10.26852716 12.71266766]
1955,HIEB2OOH,HIEB2O,[ -inf 14.79055252]
1956,HIEB2O2,HIEB2O,[11.22465669 13.69327859]
1957,HM2C43O2,HM2C43NO3,[8.06949574 8.05673329]
1958,HM2C43OOH,HM2C43O,[ -inf 14.79055252]
1959,HM2C43NO3,HM2C43O,[ -inf 14.31986127]
1960,HM2C43O2,HM2C43O,[11.17230416 13.64089066]
1961,MVKOH,HMGLOOA,[2.34574372 2.3996651 ]
1962,C527NO3,C527O,[ -inf 16.29942572]
1963,C527O2,C527O,[11.22450358 13.69327808]
1964,MACO3H,HMML,[8.34439228 8.34439228]
1965,MPAN,HMML,[9.21827285 9.21827285]
1966,HNMVKO2,HNMVKOOH,[9.16478687 9.11870022]
1967,C2H5O2,C2H5OOH,[8.90836235 8.87751974]
1968,HO13C3CO3,HO13C3CO3H,[8.90027875 8.8655365 ]
1969,C813OH,C813O,[ 9.24303805 16.16859899]
1970,C813OOH,C813O,[ -inf 16.18641451]
1971,C813NO3,C813O,[ -inf 16.17553196]
1972,C813O2,C813O,[ 9.28624332 11.42164249]
1973,HO13C4OOH,HO13C4O,[ -inf 14.79055252]
1974,HO13C4O2,HO13C4O,[11.35855561 13.82797453]
1975,HO13C5O2,HO13C5NO3,[7.37387941 7.36111696]
1976,C5124COO2,C5124COOOH,[9.21771153 9.17162488]
1977,C822O2,C822NO3,[8.09878513 8.08602267]
1978,HO1C3O2,HO1C3NO3,[7.23765964 7.22489719]
1979,HO1C3O2,HO1C3OOH,[9.08491018 9.03882353]
1980,HO1C4O2,HO1C4NO3,[7.07284942 7.06008696]
1981,HO1C4O2,HO1C4OOH,[9.16478687 9.11870022]
1982,HO1C5O2,HO1C5NO3,[7.67490941 7.66214695]
1983,HO1C5OOH,HO1C5O,[ -inf 14.79055252]
1984,HO1C5NO3,HO1C5O,[ -inf 14.38560304]
1985,HO1C5O2,HO1C5O,[10.46969698 12.9249325 ]
1986,HO1C6O2,HO1C6NO3,[7.85100067 7.83823821]
1987,HO1C6OOH,HO1C6O,[ -inf 14.79055252]
1988,HO1C6NO3,HO1C6O,[ -inf 14.31986127]
1989,HO1C6O2,HO1C6O,[10.46934853 12.92493132]
1990,HO1MC5O2,HO1MC5NO3,[7.85100067 7.83823821]
1991,HO1MC5OOH,HO1MC5O,[ -inf 14.79055252]
1992,HO1MC5NO3,HO1MC5O,[ -inf 14.31986127]
1993,HO1MC5O2,HO1MC5O,[10.46934853 12.92493132]
1994,HO24C4CO3,HO24C4CO3H,[8.90027875 8.8655365 ]
1995,HO24C5OOH,HO24C5O,[ -inf 14.79055252]
1996,HO24C5O2,HO24C5O,[11.35855041 13.82797451]
1997,C1H4C5CO2H,C6COALCO2H,[9.57634135 9.57634135]
1998,C6COCHOCO3,C6COALCO2H,[11.75449729 14.2259079 ]
1999,C1H4C5CO3H,C6COALCO3H,[9.61066016 9.61066016]
2000,C6COCHOCO3,C6COALCO3H,[8.76487457 8.73013233]
2001,HO2C4O2,HO2C4NO3,[7.47741999 7.46465754]
2002,HO2C4O2,HO2C4OOH,[9.16478687 9.11870022]
2003,HO2C54O2,HO2C54NO3,[8.06949574 8.05673329]
2004,C6COCHOO2,C6COCHOOOH,[9.25539756 9.20931091]
2005,HO2C6O2,HO2C6NO3,[7.85100067 7.83823821]
2006,HO2C6OOH,HO2C6O,[ -inf 14.79055252]
2007,HO2C6NO3,HO2C6O,[ -inf 14.31986127]
2008,HO2C6O2,HO2C6O,[10.46934853 12.92493132]
2009,HO2M2C4O2,HO2M2C4NO3,[7.67490941 7.66214695]
2010,HO2M2C4O2,HO2M2C4OOH,[9.21771153 9.17162488]
2011,HO2M2C5O2,HO2M2C5NO3,[7.45026774 7.43750529]
2012,HO2M2C5O2,HO2M2C5OOH,[9.25539756 9.20931091]
2013,C3DIALOOH,C3DIALO,[ -inf 14.79055252]
