,0,1,pr  0,dg  0,cl  0,bt  0,ev  0,pr  1,dg  1,cl  1,bt  1,ev  1
MIPKAOOH,0.3361731663735666,0.46476265546189166,0.00014270152689212988,0.0009383797309978105,0.016644692635309048,5.872213585718463e-07,1.239666252052926e-08,0.0001475029886220597,0.0009360374414976599,0.012772182614899109,1.9476434488091134e-07,6.732698896790758e-08
MNCATECH,0.4915299511430903,0.6750063752979772,0.00013890895816465852,0.0009383797309978105,0.019282171867467453,0.0001065806765807901,6.7577866929092555e-09,0.00013039816718159918,0.0009360374414976599,0.014548003784863366,0.00010604918578765623,8.427203947672127e-08
MTNCATECH,0.404018046335189,0.5822198888085606,0.00014069818919956067,0.0009383797309978105,0.016489352267103394,0.00010785298952436244,1.5842077616089678e-09,0.00013039097478646328,0.0009360374414976599,0.012330935096504504,0.00010731515402938214,4.59500689579061e-08
MVKOOA,0.0,0.0,5.098413839433899e-05,0.002189552705661558,0.030404410045024498,3.0339770192878725e-05,2.3601403310111355e-12,5.0283415402763646e-05,0.00218408736349454,0.02569483132817645,2.9117269559696246e-05,7.913282260532801e-13
MXNCATECH,0.45497579818603495,0.6313869940601192,0.00013972428784867535,0.0009383797309978105,0.015908290654332708,0.00010755937884507652,3.1877414472960926e-09,0.00013034765567452645,0.0009360374414976599,0.01209157098439098,0.00010702300751206078,6.334674448235111e-08
MXY1OHNO2,0.5711788642264398,0.6103966444290443,0.00012749935671941648,0.0006255864873318737,0.01359225736516139,0.00010736363839221924,3.2707178204284164e-08,0.00012130659759834533,0.0006240249609984399,0.010790642791314324,0.00010682824316717987,4.145949007916289e-08
DDEC3ONE,0.6399355305378623,0.7046905558687379,0.00022135559298660444,0.0015639662183296842,0.017474216247487618,0.00021825060493586954,1.9917445709411408e-10,0.0002204442107056944,0.0015600624024961,0.013648671019718962,0.00021716224454221614,1.1253386050969443e-10
MXYL,0.6849610024327746,0.6850082363468472,4.803284947672407e-05,0.0012511729746637473,0.03701172281717437,0.0,1.556869310349693e-13,4.756229778152268e-05,0.0012480499219968799,0.030147585512649126,0.0,5.042471901228519e-14
MXYLOL,0.36923073555471625,0.5828970852348437,5.80503562875739e-05,0.0015639662183296842,0.02677904020407412,4.991381547860693e-06,2.134930300699334e-12,5.7661315109438545e-05,0.0015600624024961,0.018427278799445272,4.869108622022783e-06,8.714307748501973e-13
DEC3ONE,0.5990201741464315,0.6747278549335446,0.000221216520639773,0.0015639662183296842,0.01736187877745395,0.0002131613531615802,1.7663827604798357e-10,0.00022039309683788858,0.0015600624024961,0.01328736424142065,0.00021209837157531246,1.0620117202994204e-10
